algorithm,family,offered_load,optimality_gap
cspf,grid,0.5,0.00023
cspf,grid,0.7,0.00899
cspf,grid,0.9,0.02838
cspf,grid,1.2,0.08787
cspf,ring,0.5,1e-05
cspf,ring,0.7,0.00408
cspf,ring,0.9,0.01134
cspf,ring,1.2,0.04838
cspf,scale_free,0.5,0.00427
cspf,scale_free,0.7,0.03163
cspf,scale_free,0.9,0.11128
cspf,scale_free,1.2,0.24276
cspf,waxman,0.5,0.00669
cspf,waxman,0.7,0.03347
cspf,waxman,0.9,0.04331
cspf,waxman,1.2,0.07971
ecmp,grid,0.5,0.00053
ecmp,grid,0.7,0.00678
ecmp,grid,0.9,0.02229
ecmp,grid,1.2,0.06379
ecmp,ring,0.5,0.00017
ecmp,ring,0.7,0.00436
ecmp,ring,0.9,0.01328
ecmp,ring,1.2,0.04876
ecmp,scale_free,0.5,0.00802
ecmp,scale_free,0.7,0.0367
ecmp,scale_free,0.9,0.09041
ecmp,scale_free,1.2,0.21053
ecmp,waxman,0.5,0.00669
ecmp,waxman,0.7,0.03347
ecmp,waxman,0.9,0.04434
ecmp,waxman,1.2,0.07971
orbit,grid,0.5,0.0002
orbit,grid,0.7,0.00387
orbit,grid,0.9,0.01221
orbit,grid,1.2,0.04596
orbit,ring,0.5,1e-05
orbit,ring,0.7,0.00301
orbit,ring,0.9,0.00878
orbit,ring,1.2,0.03938
orbit,scale_free,0.5,0.00219
orbit,scale_free,0.7,0.00859
orbit,scale_free,0.9,0.05638
orbit,scale_free,1.2,0.17906
orbit,waxman,0.5,0.00669
orbit,waxman,0.7,0.0317
orbit,waxman,0.9,0.04331
orbit,waxman,1.2,0.07929
spf-reconverge,grid,0.5,0.00401
spf-reconverge,grid,0.7,0.0222
spf-reconverge,grid,0.9,0.04962
spf-reconverge,grid,1.2,0.09354
spf-reconverge,ring,0.5,0.0002
spf-reconverge,ring,0.7,0.00436
spf-reconverge,ring,0.9,0.01314
spf-reconverge,ring,1.2,0.0499
spf-reconverge,scale_free,0.5,0.01788
spf-reconverge,scale_free,0.7,0.05283
spf-reconverge,scale_free,0.9,0.11534
spf-reconverge,scale_free,1.2,0.2587
spf-reconverge,waxman,0.5,0.00669
spf-reconverge,waxman,0.7,0.03347
spf-reconverge,waxman,0.9,0.04434
spf-reconverge,waxman,1.2,0.07971
spf-static,grid,0.5,0.00401
spf-static,grid,0.7,0.0222
spf-static,grid,0.9,0.04962
spf-static,grid,1.2,0.09354
spf-static,ring,0.5,0.0002
spf-static,ring,0.7,0.00436
spf-static,ring,0.9,0.01314
spf-static,ring,1.2,0.0499
spf-static,scale_free,0.5,0.01788
spf-static,scale_free,0.7,0.05283
spf-static,scale_free,0.9,0.11534
spf-static,scale_free,1.2,0.2587
spf-static,waxman,0.5,0.00669
spf-static,waxman,0.7,0.03347
spf-static,waxman,0.9,0.04434
spf-static,waxman,1.2,0.07971
