scenario,algorithm,runs,censored,partitioned_fraction
scale_free-n100-load0.7-critical_link-centralised-deg4.0,cspf,30,18,0.6
scale_free-n100-load0.7-critical_link-centralised-deg4.0,ecmp,30,2,0.06666666666666667
scale_free-n100-load0.7-critical_link-centralised-deg4.0,orbit,30,8,0.26666666666666666
scale_free-n100-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,9,0.3
scale_free-n100-load0.7-critical_link-centralised-deg4.0,spf-static,30,17,0.5666666666666667
scale_free-n100-load0.7-random_node_30-centralised-deg4.0,cspf,30,30,1.0
scale_free-n100-load0.7-random_node_30-centralised-deg4.0,ecmp,30,30,1.0
scale_free-n100-load0.7-random_node_30-centralised-deg4.0,orbit,30,30,1.0
scale_free-n100-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,30,1.0
scale_free-n100-load0.7-random_node_30-centralised-deg4.0,spf-static,30,30,1.0
scale_free-n250-load0.7-critical_link-centralised-deg4.0,cspf,30,6,0.2
scale_free-n250-load0.7-critical_link-centralised-deg4.0,ecmp,30,0,0.0
scale_free-n250-load0.7-critical_link-centralised-deg4.0,orbit,30,1,0.03333333333333333
scale_free-n250-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,3,0.1
scale_free-n250-load0.7-critical_link-centralised-deg4.0,spf-static,30,0,0.0
scale_free-n250-load0.7-random_node_30-centralised-deg4.0,cspf,30,30,1.0
scale_free-n250-load0.7-random_node_30-centralised-deg4.0,ecmp,30,30,1.0
scale_free-n250-load0.7-random_node_30-centralised-deg4.0,orbit,30,30,1.0
scale_free-n250-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,30,1.0
scale_free-n250-load0.7-random_node_30-centralised-deg4.0,spf-static,30,30,1.0
scale_free-n50-load0.7-critical_link-centralised-deg4.0,cspf,30,15,0.5
scale_free-n50-load0.7-critical_link-centralised-deg4.0,ecmp,30,8,0.26666666666666666
scale_free-n50-load0.7-critical_link-centralised-deg4.0,orbit,30,11,0.36666666666666664
scale_free-n50-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,13,0.43333333333333335
scale_free-n50-load0.7-critical_link-centralised-deg4.0,spf-static,30,22,0.7333333333333333
scale_free-n50-load0.7-random_node_30-centralised-deg4.0,cspf,30,30,1.0
scale_free-n50-load0.7-random_node_30-centralised-deg4.0,ecmp,30,30,1.0
scale_free-n50-load0.7-random_node_30-centralised-deg4.0,orbit,30,30,1.0
scale_free-n50-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,30,1.0
scale_free-n50-load0.7-random_node_30-centralised-deg4.0,spf-static,30,30,1.0
scale_free-n500-load0.7-critical_link-centralised-deg4.0,cspf,30,2,0.06666666666666667
scale_free-n500-load0.7-critical_link-centralised-deg4.0,ecmp,30,0,0.0
scale_free-n500-load0.7-critical_link-centralised-deg4.0,orbit,30,5,0.16666666666666666
scale_free-n500-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,0,0.0
scale_free-n500-load0.7-critical_link-centralised-deg4.0,spf-static,30,0,0.0
scale_free-n500-load0.7-random_node_30-centralised-deg4.0,cspf,30,30,1.0
scale_free-n500-load0.7-random_node_30-centralised-deg4.0,ecmp,30,30,1.0
scale_free-n500-load0.7-random_node_30-centralised-deg4.0,orbit,30,30,1.0
scale_free-n500-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,30,1.0
scale_free-n500-load0.7-random_node_30-centralised-deg4.0,spf-static,30,30,1.0
waxman-n100-load0.7-critical_link-centralised-deg4.0,cspf,30,16,0.5333333333333333
waxman-n100-load0.7-critical_link-centralised-deg4.0,ecmp,30,10,0.3333333333333333
waxman-n100-load0.7-critical_link-centralised-deg4.0,orbit,30,14,0.4666666666666667
waxman-n100-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,10,0.3333333333333333
waxman-n100-load0.7-critical_link-centralised-deg4.0,spf-static,30,16,0.5333333333333333
waxman-n100-load0.7-random_node_30-centralised-deg4.0,cspf,30,30,1.0
waxman-n100-load0.7-random_node_30-centralised-deg4.0,ecmp,30,30,1.0
waxman-n100-load0.7-random_node_30-centralised-deg4.0,orbit,30,30,1.0
waxman-n100-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,30,1.0
waxman-n100-load0.7-random_node_30-centralised-deg4.0,spf-static,30,30,1.0
waxman-n250-load0.7-critical_link-centralised-deg4.0,cspf,30,8,0.26666666666666666
waxman-n250-load0.7-critical_link-centralised-deg4.0,ecmp,30,2,0.06666666666666667
waxman-n250-load0.7-critical_link-centralised-deg4.0,orbit,30,2,0.06666666666666667
waxman-n250-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,2,0.06666666666666667
waxman-n250-load0.7-critical_link-centralised-deg4.0,spf-static,30,0,0.0
waxman-n250-load0.7-random_node_30-centralised-deg4.0,cspf,30,30,1.0
waxman-n250-load0.7-random_node_30-centralised-deg4.0,ecmp,30,30,1.0
waxman-n250-load0.7-random_node_30-centralised-deg4.0,orbit,30,30,1.0
waxman-n250-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,30,1.0
waxman-n250-load0.7-random_node_30-centralised-deg4.0,spf-static,30,30,1.0
waxman-n50-load0.7-critical_link-centralised-deg4.0,cspf,30,17,0.5666666666666667
waxman-n50-load0.7-critical_link-centralised-deg4.0,ecmp,30,15,0.5
waxman-n50-load0.7-critical_link-centralised-deg4.0,orbit,30,16,0.5333333333333333
waxman-n50-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,15,0.5
waxman-n50-load0.7-critical_link-centralised-deg4.0,spf-static,30,26,0.8666666666666667
waxman-n50-load0.7-random_node_30-centralised-deg4.0,cspf,30,30,1.0
waxman-n50-load0.7-random_node_30-centralised-deg4.0,ecmp,30,30,1.0
waxman-n50-load0.7-random_node_30-centralised-deg4.0,orbit,30,30,1.0
waxman-n50-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,30,1.0
waxman-n50-load0.7-random_node_30-centralised-deg4.0,spf-static,30,30,1.0
waxman-n500-load0.7-critical_link-centralised-deg4.0,cspf,30,8,0.26666666666666666
waxman-n500-load0.7-critical_link-centralised-deg4.0,ecmp,30,0,0.0
waxman-n500-load0.7-critical_link-centralised-deg4.0,orbit,30,4,0.13333333333333333
waxman-n500-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,0,0.0
waxman-n500-load0.7-critical_link-centralised-deg4.0,spf-static,30,0,0.0
waxman-n500-load0.7-random_node_30-centralised-deg4.0,cspf,30,30,1.0
waxman-n500-load0.7-random_node_30-centralised-deg4.0,ecmp,30,30,1.0
waxman-n500-load0.7-random_node_30-centralised-deg4.0,orbit,30,30,1.0
waxman-n500-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,30,1.0
waxman-n500-load0.7-random_node_30-centralised-deg4.0,spf-static,30,30,1.0
