metric,scenario,baseline,challenger,n_pairs,n_censored,baseline_median,challenger_median,median_difference,ci_low,ci_high,p_value,p_holm,cliffs_delta,effect
pdr,scale_free-n100-load0.7-critical_link-centralised-deg4.0,cspf,orbit,30,0,0.7395215524104354,0.7364408799898439,-0.001376718103966168,-0.013535044396630613,0.006300507614263651,0.370740607380867,1.0,-0.09333333333333334,negligible
pdr,scale_free-n100-load0.7-critical_link-centralised-deg4.0,ecmp,orbit,30,0,0.6565422496794229,0.7364408799898439,0.07521905833303283,0.06674653206082792,0.08707421904459434,1.862645149230957e-09,1.1920928955078125e-07,0.8977777777777778,large
pdr,scale_free-n100-load0.7-critical_link-centralised-deg4.0,spf-reconverge,orbit,30,0,0.5605474469053242,0.7364408799898439,0.16882556475736105,0.16310020677585763,0.1788389274504304,1.862645149230957e-09,1.1920928955078125e-07,1.0,large
pdr,scale_free-n100-load0.7-critical_link-centralised-deg4.0,spf-static,orbit,30,0,0.5536768143693014,0.7364408799898439,0.17686341953913637,0.17049892039842152,0.18575171552758157,1.862645149230957e-09,1.1920928955078125e-07,1.0,large
pdr,scale_free-n100-load0.7-random_node_30-centralised-deg4.0,cspf,orbit,30,0,0.3645264962156508,0.36163804870185146,-0.000499659849936579,-0.0041215420459346785,0.004161297937346181,0.935398668050766,1.0,-0.015555555555555555,negligible
pdr,scale_free-n100-load0.7-random_node_30-centralised-deg4.0,ecmp,orbit,30,0,0.314706997087814,0.36163804870185146,0.04259224396503125,0.03257768418949894,0.050695124969731886,1.862645149230957e-09,1.1920928955078125e-07,0.4022222222222222,medium
pdr,scale_free-n100-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,orbit,30,0,0.27237450430742727,0.36163804870185146,0.07906226348984904,0.06525865152146477,0.09071593211734383,1.862645149230957e-09,1.1920928955078125e-07,0.7111111111111111,large
pdr,scale_free-n100-load0.7-random_node_30-centralised-deg4.0,spf-static,orbit,30,0,0.2522369598659008,0.36163804870185146,0.11487873322241252,0.1079067481120614,0.12454730002357822,1.862645149230957e-09,1.1920928955078125e-07,0.8244444444444444,large
pdr,scale_free-n250-load0.7-critical_link-centralised-deg4.0,cspf,orbit,30,0,0.7489220568405703,0.7412159114646442,-0.0030794355887968083,-0.0051424965179397986,0.0011989714187636835,0.25343610532581806,1.0,-0.07777777777777778,negligible
pdr,scale_free-n250-load0.7-critical_link-centralised-deg4.0,ecmp,orbit,30,0,0.6030312572094035,0.7412159114646442,0.1366044947696517,0.12417691277411119,0.1410338995940234,1.862645149230957e-09,1.1920928955078125e-07,1.0,large
pdr,scale_free-n250-load0.7-critical_link-centralised-deg4.0,spf-reconverge,orbit,30,0,0.5002394366264873,0.7412159114646442,0.23756971336825977,0.22988911427755832,0.2488970578151148,1.862645149230957e-09,1.1920928955078125e-07,1.0,large
pdr,scale_free-n250-load0.7-critical_link-centralised-deg4.0,spf-static,orbit,30,0,0.4924843361171056,0.7412159114646442,0.24076234637460214,0.23328837206123984,0.25085137143681624,1.862645149230957e-09,1.1920928955078125e-07,1.0,large
pdr,scale_free-n250-load0.7-random_node_30-centralised-deg4.0,cspf,orbit,30,0,0.3456319983509982,0.35627144385866466,0.004203265977899967,0.0013123268803772459,0.009566343057652943,0.000283263623714447,0.003965690732002258,0.08,negligible
pdr,scale_free-n250-load0.7-random_node_30-centralised-deg4.0,ecmp,orbit,30,0,0.2938193565420313,0.35627144385866466,0.06589156671592389,0.05894267386977123,0.07005966647573514,1.862645149230957e-09,1.1920928955078125e-07,0.6844444444444444,large
pdr,scale_free-n250-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,orbit,30,0,0.24692779907969942,0.35627144385866466,0.10568841658613581,0.09928589491772433,0.11357795089275986,1.862645149230957e-09,1.1920928955078125e-07,0.9311111111111111,large
pdr,scale_free-n250-load0.7-random_node_30-centralised-deg4.0,spf-static,orbit,30,0,0.19643222760206785,0.35627144385866466,0.15578218244314973,0.14553466591875602,0.163350290784678,1.862645149230957e-09,1.1920928955078125e-07,0.9911111111111112,large
pdr,scale_free-n50-load0.7-critical_link-centralised-deg4.0,cspf,orbit,30,0,0.8005141962653629,0.7923464224585219,-0.00038975399515794873,-0.014437379465524314,0.005084571220680597,0.4161298982799053,1.0,-0.057777777777777775,negligible
pdr,scale_free-n50-load0.7-critical_link-centralised-deg4.0,ecmp,orbit,30,0,0.722339235186543,0.7923464224585219,0.06520980340212573,0.05658526355621085,0.07631305217123446,1.862645149230957e-09,1.1920928955078125e-07,0.7488888888888889,large
pdr,scale_free-n50-load0.7-critical_link-centralised-deg4.0,spf-reconverge,orbit,30,0,0.635131802648355,0.7923464224585219,0.1492716742895861,0.14143145381105043,0.16598979103687717,1.862645149230957e-09,1.1920928955078125e-07,0.9822222222222222,large
