metric,scenario,baseline,challenger,n_pairs,n_censored,baseline_median,challenger_median,median_difference,ci_low,ci_high,p_value,p_holm,cliffs_delta,effect
time_to_restore_critical_s,scale_free-n100-load0.7-critical_link-centralised-deg4.0,cspf,orbit,29,1,0.0,0.0,0.0,0.0,0.0,0.3184907277075488,1.0,-0.10344827586206896,negligible
time_to_restore_critical_s,scale_free-n100-load0.7-critical_link-centralised-deg4.0,ecmp,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,scale_free-n100-load0.7-critical_link-centralised-deg4.0,spf-reconverge,orbit,30,0,0.1,0.0,-0.1,-0.2,0.0,0.00025417085616786866,0.008133467397371797,-0.5,large
time_to_restore_critical_s,scale_free-n100-load0.7-critical_link-centralised-deg4.0,spf-static,orbit,15,15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,scale_free-n250-load0.7-critical_link-centralised-deg4.0,cspf,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,scale_free-n250-load0.7-critical_link-centralised-deg4.0,ecmp,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,scale_free-n250-load0.7-critical_link-centralised-deg4.0,spf-reconverge,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,scale_free-n250-load0.7-critical_link-centralised-deg4.0,spf-static,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,scale_free-n50-load0.7-critical_link-centralised-deg4.0,cspf,orbit,30,0,0.0,0.0,0.0,0.0,0.2,0.021784137671872216,0.6099558548124221,0.3,small
time_to_restore_critical_s,scale_free-n50-load0.7-critical_link-centralised-deg4.0,ecmp,orbit,30,0,0.0,0.0,0.0,0.0,0.2,0.001753038246593275,0.05434418564439153,0.4,medium
time_to_restore_critical_s,scale_free-n50-load0.7-critical_link-centralised-deg4.0,spf-reconverge,orbit,30,0,0.0,0.0,0.0,0.0,0.0,0.7563704720130537,1.0,0.03333333333333333,negligible
time_to_restore_critical_s,scale_free-n50-load0.7-critical_link-centralised-deg4.0,spf-static,orbit,17,13,0.0,0.0,0.0,0.0,0.0,0.22358752871515342,1.0,0.17647058823529413,small
time_to_restore_critical_s,scale_free-n500-load0.7-critical_link-centralised-deg4.0,cspf,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,scale_free-n500-load0.7-critical_link-centralised-deg4.0,ecmp,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,scale_free-n500-load0.7-critical_link-centralised-deg4.0,spf-reconverge,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,scale_free-n500-load0.7-critical_link-centralised-deg4.0,spf-static,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,waxman-n100-load0.7-critical_link-centralised-deg4.0,cspf,orbit,27,3,0.0,0.0,0.0,0.0,0.0,0.7150006546880893,1.0,-0.037037037037037035,negligible
time_to_restore_critical_s,waxman-n100-load0.7-critical_link-centralised-deg4.0,ecmp,orbit,28,2,0.0,0.0,0.0,-0.1,0.0,0.010277753605079142,0.30833260815237423,-0.32142857142857145,small
time_to_restore_critical_s,waxman-n100-load0.7-critical_link-centralised-deg4.0,spf-reconverge,orbit,28,2,0.0,0.0,0.0,-0.1,0.0,0.010277753605079142,0.30833260815237423,-0.32142857142857145,small
time_to_restore_critical_s,waxman-n100-load0.7-critical_link-centralised-deg4.0,spf-static,orbit,19,11,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,waxman-n250-load0.7-critical_link-centralised-deg4.0,cspf,orbit,29,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,waxman-n250-load0.7-critical_link-centralised-deg4.0,ecmp,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,waxman-n250-load0.7-critical_link-centralised-deg4.0,spf-reconverge,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,waxman-n250-load0.7-critical_link-centralised-deg4.0,spf-static,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,waxman-n50-load0.7-critical_link-centralised-deg4.0,cspf,orbit,29,1,0.0,0.0,0.0,0.0,0.0,0.09820523707521586,1.0,0.20689655172413793,small
time_to_restore_critical_s,waxman-n50-load0.7-critical_link-centralised-deg4.0,ecmp,orbit,29,1,0.2,0.0,0.0,0.0,0.0,0.06682329885623377,1.0,-0.20689655172413793,small
time_to_restore_critical_s,waxman-n50-load0.7-critical_link-centralised-deg4.0,spf-reconverge,orbit,29,1,0.2,0.0,0.0,0.0,0.0,0.06682329885623377,1.0,-0.20689655172413793,small
time_to_restore_critical_s,waxman-n50-load0.7-critical_link-centralised-deg4.0,spf-static,orbit,13,17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,waxman-n500-load0.7-critical_link-centralised-deg4.0,cspf,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,waxman-n500-load0.7-critical_link-centralised-deg4.0,ecmp,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,waxman-n500-load0.7-critical_link-centralised-deg4.0,spf-reconverge,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,waxman-n500-load0.7-critical_link-centralised-deg4.0,spf-static,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
