scenario,algorithm,n,pdr_critical_median,pdr_critical_iqr,pdr_critical_n,pdr_median,pdr_iqr,pdr_n,throughput_mbps_median,throughput_mbps_iqr,throughput_mbps_n,time_to_restore_critical_s_median,time_to_restore_critical_s_iqr,time_to_restore_critical_s_n,control_seconds_median,control_seconds_iqr,control_seconds_n,p95_latency_ms_median,p95_latency_ms_iqr,p95_latency_ms_n
scale_free-n100-load0.7-critical_link-centralised-deg4.0,cspf,30,0.9976561745433734,0.010026296499204168,30,0.7395215524104354,0.03484539760350891,30,6838.340275827209,231.60086468774625,30,0.0,0.0,29,0.44324745000631083,0.852091674998519,30,153.0,44.52859885461642,30
scale_free-n100-load0.7-critical_link-centralised-deg4.0,ecmp,30,0.9982156897336147,0.012560275771134943,30,0.6565422496794229,0.03862485446385944,30,6091.480837384279,309.30727328750436,30,0.0,0.0,30,0.5994493499892997,1.210277899968787,30,104.2556992702045,6.912443428244259,30
scale_free-n100-load0.7-critical_link-centralised-deg4.0,orbit,30,0.999605281741486,0.00023702179429185843,30,0.7364408799898439,0.024248528723389118,30,6817.942000921315,204.29707848640464,30,0.0,0.0,30,0.3375802999944426,0.639525924991176,30,109.29248272979541,45.42821288224897,30
scale_free-n100-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,0.969760174048663,0.047099070007057375,30,0.5605474469053242,0.04663172659836057,30,5219.798535406844,369.9368266432675,30,0.1,0.2,30,0.112848849981674,0.20406087502487935,30,129.513067782572,48.152670692876285,30
scale_free-n100-load0.7-critical_link-centralised-deg4.0,spf-static,30,0.9199565248464112,0.057952170254949475,30,0.5536768143693014,0.050791233999181395,30,5167.859830106085,436.8635169401523,30,0.0,0.0,15,0.059368799993535504,0.09751672495622188,30,106.63266821596812,48.72629911609755,30
scale_free-n100-load0.7-random_node_30-centralised-deg4.0,cspf,30,0.5046642981979942,0.10881253446736161,30,0.3645264962156508,0.1047776782588733,30,3412.279650049306,1080.0897909391847,30,,,0,0.9444576500100084,0.08406349999131635,30,153.50780969222166,49.3136311912795,30
scale_free-n100-load0.7-random_node_30-centralised-deg4.0,ecmp,30,0.4968613736478112,0.0965520127571361,30,0.314706997087814,0.06896733444380021,30,2910.9968919225066,718.5022875666459,30,,,0,1.2393107500101905,0.07239607499650447,30,105.15464532865595,48.90473101525882,30
scale_free-n100-load0.7-random_node_30-centralised-deg4.0,orbit,30,0.5084967315342741,0.10624139614600075,30,0.36163804870185146,0.08764891218266124,30,3400.3338904943475,966.573984449532,30,,,0,0.9960692499880679,0.04194085000199266,30,109.01254165110242,48.528470095958255,30
scale_free-n100-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,0.4675998022065759,0.09632801618639875,30,0.27237450430742727,0.05213099768601026,30,2532.9893772300575,567.2147977747791,30,,,0,0.2267998500028625,0.011360025018802844,30,105.12217079504792,49.80002828893123,30
scale_free-n100-load0.7-random_node_30-centralised-deg4.0,spf-static,30,0.34597389968672065,0.14663644571179119,30,0.2522369598659008,0.07253077841022185,30,2363.745480823355,764.6167310757794,30,,,0,0.15893945000425447,0.00933847497071838,30,104.04227541286625,0.5160063832325932,30
scale_free-n250-load0.7-critical_link-centralised-deg4.0,cspf,30,0.9940130240503425,0.011200884106053577,30,0.7489220568405703,0.0346840074479936,30,15173.454936380898,258.5986908595751,30,0.0,0.0,30,9.131370349990902,0.6704030750042875,30,154.13732045444777,1.0035307201873422,30
scale_free-n250-load0.7-critical_link-centralised-deg4.0,ecmp,30,0.9902484913410455,0.029953206810893196,30,0.6030312572094035,0.03418667931897845,30,12369.421626672276,518.621424485078,30,0.0,0.0,30,12.344415800005663,2.368737249998958,30,104.26453265344753,12.584230203636011,30
scale_free-n250-load0.7-critical_link-centralised-deg4.0,orbit,30,0.9998168799005753,3.939412607245618e-05,30,0.7412159114646442,0.038590446759618535,30,15164.635740347778,476.8250009364783,30,0.0,0.0,30,6.539981349997106,0.7687000499790884,30,115.37618279553986,44.25400416662667,30
scale_free-n250-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,0.9105847440549742,0.06315183368951904,30,0.5002394366264873,0.045281476480617866,30,10289.718014908121,710.0507851562197,30,0.0,0.0,30,2.1696665000054054,0.6954470250129816,30,153.0,47.87999469043578,30
scale_free-n250-load0.7-critical_link-centralised-deg4.0,spf-static,30,0.8806763720228155,0.06648043351294441,30,0.4924843361171056,0.04269012640704872,30,10160.00197665063,707.0795471445272,30,0.0,0.0,30,1.0887812500004657,0.0913329749746481,30,153.0,47.900421213052425,30
scale_free-n250-load0.7-random_node_30-centralised-deg4.0,cspf,30,0.48473938877674644,0.043167803622823964,30,0.3456319983509982,0.060890983439969126,30,6994.771356433293,1309.7405899859186,30,,,0,6.517396499984898,1.945911700000579,30,155.15376708980108,2.5356011874155797,30
scale_free-n250-load0.7-random_node_30-centralised-deg4.0,ecmp,30,0.48138629886338646,0.0378154870168903,30,0.2938193565420313,0.058823237942878526,30,5779.821547836362,1087.108310604196,30,,,0,8.467664299998432,2.3266511500114575,30,121.30426015392963,46.85305927818146,30
scale_free-n250-load0.7-random_node_30-centralised-deg4.0,orbit,30,0.4919506363466951,0.03131814856264281,30,0.35627144385866466,0.06922685084978031,30,7244.55632778068,1099.8491375601761,30,,,0,6.741660700019565,2.0655698500195285,30,154.11288653129543,44.70804296063346,30
scale_free-n250-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,0.45636331158760474,0.04968614628073881,30,0.24692779907969942,0.04653874027828575,30,4785.66291155101,810.4587023501881,30,,,0,1.5595674500218593,0.30003502500767354,30,154.01916158470755,48.17535975405205,30
scale_free-n250-load0.7-random_node_30-centralised-deg4.0,spf-static,30,0.2891506780111669,0.06427328078975666,30,0.19643222760206785,0.049661493403900914,30,3917.9441698430483,758.446549979346,30,,,0,1.1074697000003653,0.08394467498146696,30,104.07311793037664,0.04430645708902148,30
scale_free-n50-load0.7-critical_link-centralised-deg4.0,cspf,30,0.9998290901372386,0.0019163575041366565,30,0.8005141962653629,0.060247895757410186,30,3946.3402794578105,214.02475272863285,30,0.0,0.0,30,0.12121039998601191,0.013156574983440805,30,105.23034294594812,3.5179016398947596,30
scale_free-n50-load0.7-critical_link-centralised-deg4.0,ecmp,30,1.0,0.0058072942197459065,30,0.722339235186543,0.05546199568562926,30,3611.894977251519,149.54313827109308,30,0.0,0.0,30,0.16741399999591522,0.01378619999741204,30,103.03802903000607,0.06078437748988108,30
scale_free-n50-load0.7-critical_link-centralised-deg4.0,orbit,30,0.9993518662800249,0.0002957738918447639,30,0.7923464224585219,0.060630577408765984,30,3933.889161794308,149.93538848342632,30,0.0,0.2,30,0.08972834999440238,0.010555250009929296,30,105.14453333990751,0.8754465776572999,30
scale_free-n50-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,0.9837517957679429,0.04307803220048634,30,0.635131802648355,0.09027124786508334,30,3196.1855064038555,276.8953206644492,30,0.0,0.2,30,0.025539150010445155,0.0028667750229942612,30,104.08172706128988,37.46274844362759,30
scale_free-n50-load0.7-critical_link-centralised-deg4.0,spf-static,30,0.9463881088609502,0.06646527834536897,30,0.6217990598404926,0.08455042896469855,30,3154.8997585111492,284.3418660268226,30,0.0,0.0,17,0.013040499994531274,0.002513550025469158,30,104.0625229427695,49.50909417364788,30
scale_free-n50-load0.7-random_node_30-centralised-deg4.0,cspf,30,0.4853672287758832,0.10770430639586248,30,0.3914448353303167,0.10883302209289308,30,1934.1267232176829,457.30883302028906,30,,,0,0.08638839999912307,0.013306674984050915,30,105.69731755513884,47.926430630597395,30
scale_free-n50-load0.7-random_node_30-centralised-deg4.0,ecmp,30,0.48673920803975435,0.11317640317616945,30,0.36401221412203444,0.09107314806001343,30,1788.7547997180209,365.029521261456,30,,,0,0.1124028000049293,0.01235197498317575,30,104.06744429214905,2.830924002642462,30
scale_free-n50-load0.7-random_node_30-centralised-deg4.0,orbit,30,0.4866720316892066,0.10686420771749361,30,0.39736886800752347,0.10796166404961927,30,1970.560007692926,459.4565186975574,30,,,0,0.09450845001265407,0.011596199998166412,30,105.13956683241722,2.252416857529653,30
scale_free-n50-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,0.47794849371995085,0.10031265160613362,30,0.3157880020665344,0.06651288790853926,30,1588.6531169675718,320.4041507492366,30,,,0,0.018702800007304177,0.0031937250096234493,30,104.35662693190912,48.95266867496332,30
scale_free-n50-load0.7-random_node_30-centralised-deg4.0,spf-static,30,0.38061243704774395,0.1759921262335894,30,0.2958938214796428,0.09211534009848668,30,1461.1516924080902,427.02611014993386,30,,,0,0.01427980000153184,0.002896650017646607,30,103.02849910718535,0.058829673841373165,30
scale_free-n500-load0.7-critical_link-centralised-deg4.0,cspf,30,0.9922105317652736,0.010930048857884067,30,0.7257360703047635,0.032320476246702645,30,27371.057512013227,610.5631644021123,30,0.0,0.0,30,10.394467250007438,0.26280549998773495,30,155.17544313048822,1.0291668891577217,30
scale_free-n500-load0.7-critical_link-centralised-deg4.0,ecmp,30,0.9658216118248121,0.028618805083736043,30,0.5515241023673765,0.03388146997899977,30,20875.119012461797,679.0240376931397,30,0.0,0.0,30,14.291451750017586,0.45728615000552963,30,109.23120660754988,8.054171186455491,30
scale_free-n500-load0.7-critical_link-centralised-deg4.0,orbit,30,0.9998971069756823,1.872989914430967e-05,30,0.7253242354069938,0.06040620665880625,30,27489.52902445933,861.462699273714,30,0.0,0.0,30,7.185955150009249,0.600278400008392,30,154.02406414760526,44.69656220069392,30
scale_free-n500-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,0.8631429679202434,0.07780645126298535,30,0.4560904031702857,0.04235394886932825,30,17195.944559973315,879.6159127033534,30,0.0,0.0,30,2.6122570500010625,0.14346504998684395,30,153.0,48.67462041297293,30
scale_free-n500-load0.7-critical_link-centralised-deg4.0,spf-static,30,0.8408679536504214,0.0703224600780692,30,0.4539479898628879,0.04468687776496738,30,17030.973193492966,894.1068081220619,30,0.0,0.0,30,1.291196799982572,0.10210502502013696,30,153.0,48.54008584998405,30
scale_free-n500-load0.7-random_node_30-centralised-deg4.0,cspf,30,0.4907615097764589,0.055000482663655204,30,0.3190081495687039,0.06777026789487711,30,12177.974390548752,2464.866036123156,30,,,0,7.517370800007484,0.396310900010576,30,157.23808507375776,2.017927271301261,30
