metric,scenario,baseline,challenger,n_pairs,n_censored,baseline_median,challenger_median,median_difference,ci_low,ci_high,p_value,p_holm,cliffs_delta,effect
pdr,grid-n60-load0.9-cascading-centralised,orbit-no-protection,orbit,30,0,0.2049128629408482,0.20264193653683182,0.0,-7.875078622689158e-05,0.0,0.6409810951680889,1.0,-0.0044444444444444444,negligible
pdr,grid-n60-load0.9-cascading-centralised,orbit-no-preemption,orbit,30,0,0.20545493046930835,0.20264193653683182,0.0,-0.0001446354621721102,0.0008425300523256241,0.9343947159154524,1.0,-0.014444444444444444,negligible
pdr,grid-n60-load0.9-cascading-centralised,orbit-no-damping,orbit,30,0,0.2033381214771033,0.20264193653683182,0.0,0.0,0.0,0.4993370937056525,1.0,-0.02666666666666667,negligible
pdr,grid-n60-load0.9-cascading-centralised,orbit-restoration-only,orbit,30,0,0.21812963952788067,0.20264193653683182,0.0,-0.0011078795697322397,0.005472066773949638,0.8936332036125224,1.0,-0.0811111111111111,negligible
pdr,grid-n60-load0.9-critical_link-centralised,orbit-no-protection,orbit,30,0,0.8164193081564715,0.8164193081564715,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,grid-n60-load0.9-critical_link-centralised,orbit-no-preemption,orbit,30,0,0.8164193081564715,0.8164193081564715,0.0,0.0,0.0,0.7462125955250709,1.0,0.01888888888888889,negligible
pdr,grid-n60-load0.9-critical_link-centralised,orbit-no-damping,orbit,30,0,0.8176676880305741,0.8164193081564715,-0.001797068265049162,-0.003393917617952602,0.0,0.006063815621445935,0.8731894494882146,-0.05,negligible
pdr,grid-n60-load0.9-critical_link-centralised,orbit-restoration-only,orbit,30,0,0.8189336210536236,0.8164193081564715,-0.002198989846216748,-0.004937674179025742,0.0,0.006753711905429211,0.9657808024763771,-0.03666666666666667,negligible
pdr,grid-n60-load0.9-random_node_30-centralised,orbit-no-protection,orbit,30,0,0.32153764350563885,0.32153764350563885,0.0,0.0,0.0,0.7429093223644605,1.0,-0.0033333333333333335,negligible
pdr,grid-n60-load0.9-random_node_30-centralised,orbit-no-preemption,orbit,30,0,0.3253711271551548,0.32153764350563885,0.0,0.0,0.0,0.9821518786233454,1.0,-0.0022222222222222222,negligible
pdr,grid-n60-load0.9-random_node_30-centralised,orbit-no-damping,orbit,30,0,0.32153764350563885,0.32153764350563885,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,grid-n60-load0.9-random_node_30-centralised,orbit-restoration-only,orbit,30,0,0.3253711271551548,0.32153764350563885,0.0,0.0,0.0,0.9562455324673624,1.0,-0.0044444444444444444,negligible
pdr,grid-n60-load1.5-cascading-centralised,orbit-no-protection,orbit,30,0,0.09013588829056304,0.08836314139011983,0.0,0.0,0.0,0.3901624835465265,1.0,-0.0033333333333333335,negligible
pdr,grid-n60-load1.5-cascading-centralised,orbit-no-preemption,orbit,30,0,0.0903968512211501,0.08836314139011983,0.0,0.0,0.0,0.09954037240021049,1.0,-0.07111111111111111,negligible
pdr,grid-n60-load1.5-cascading-centralised,orbit-no-damping,orbit,30,0,0.08845215651427554,0.08836314139011983,0.0,0.0,0.0,0.7277235466695502,1.0,-0.0011111111111111111,negligible
pdr,grid-n60-load1.5-cascading-centralised,orbit-restoration-only,orbit,30,0,0.09002693123656841,0.08836314139011983,0.0,0.0,0.0,0.9092447951661871,1.0,-0.03111111111111111,negligible
pdr,grid-n60-load1.5-critical_link-centralised,orbit-no-protection,orbit,30,0,0.5115535601310215,0.5115535601310215,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,grid-n60-load1.5-critical_link-centralised,orbit-no-preemption,orbit,30,0,0.5125197846938269,0.5115535601310215,0.0,0.0,0.0,0.8188504025546041,1.0,0.028888888888888888,negligible
pdr,grid-n60-load1.5-critical_link-centralised,orbit-no-damping,orbit,30,0,0.5179061460919827,0.5115535601310215,0.0,0.0,0.0,0.6677666320489986,1.0,-0.0077777777777777776,negligible
pdr,grid-n60-load1.5-critical_link-centralised,orbit-restoration-only,orbit,30,0,0.5182763809399709,0.5115535601310215,0.0,-0.00020326811425203095,0.0,0.7014047914241587,1.0,0.0022222222222222222,negligible
pdr,grid-n60-load1.5-random_node_30-centralised,orbit-no-protection,orbit,30,0,0.23995703635474008,0.23995703635474008,0.0,0.0,0.0,0.7429093223644605,1.0,0.0033333333333333335,negligible
pdr,grid-n60-load1.5-random_node_30-centralised,orbit-no-preemption,orbit,30,0,0.2375456252137881,0.23995703635474008,0.0,-0.0007482690420859001,0.0006330060697365136,0.9835376872403168,1.0,0.027777777777777776,negligible
pdr,grid-n60-load1.5-random_node_30-centralised,orbit-no-damping,orbit,30,0,0.23995703635474008,0.23995703635474008,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,grid-n60-load1.5-random_node_30-centralised,orbit-restoration-only,orbit,30,0,0.2375456252137881,0.23995703635474008,0.0,-0.0007482690420859001,0.0009014001070031807,0.8526759341064107,1.0,0.027777777777777776,negligible
pdr,grid-n60-load2.0-cascading-centralised,orbit-no-protection,orbit,30,0,0.05823627059387268,0.05823627059387268,0.0,0.0,0.0,0.7258704501409344,1.0,0.0011111111111111111,negligible
pdr,grid-n60-load2.0-cascading-centralised,orbit-no-preemption,orbit,30,0,0.058153280014719366,0.05823627059387268,0.0,0.0,0.0,0.5032656049928733,1.0,-0.03333333333333333,negligible
pdr,grid-n60-load2.0-cascading-centralised,orbit-no-damping,orbit,30,0,0.05823627059387268,0.05823627059387268,0.0,0.0,0.0,0.7277235466695502,1.0,-0.0011111111111111111,negligible
pdr,grid-n60-load2.0-cascading-centralised,orbit-restoration-only,orbit,30,0,0.058153280014719366,0.05823627059387268,0.0,0.0,0.0,0.5309594380610587,1.0,-0.03333333333333333,negligible
pdr,grid-n60-load2.0-critical_link-centralised,orbit-no-protection,orbit,30,0,0.40670923872695236,0.40670923872695236,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,grid-n60-load2.0-critical_link-centralised,orbit-no-preemption,orbit,30,0,0.40559469409399473,0.40670923872695236,0.0,0.0,0.0,0.5453726379627757,1.0,0.0077777777777777776,negligible
pdr,grid-n60-load2.0-critical_link-centralised,orbit-no-damping,orbit,30,0,0.40590285185886354,0.40670923872695236,0.0,0.0,0.0,0.5021344928529113,1.0,-0.006666666666666667,negligible
pdr,grid-n60-load2.0-critical_link-centralised,orbit-restoration-only,orbit,30,0,0.40559469409399473,0.40670923872695236,0.0,0.0,0.0,0.5010334366006564,1.0,0.0033333333333333335,negligible
pdr,grid-n60-load2.0-random_node_30-centralised,orbit-no-protection,orbit,30,0,0.19548622070189714,0.19548622070189714,0.0,0.0,0.0,0.7734132896076398,1.0,0.0033333333333333335,negligible
pdr,grid-n60-load2.0-random_node_30-centralised,orbit-no-preemption,orbit,30,0,0.1940846641143879,0.19548622070189714,0.0,-0.0007287692732109163,0.0,0.36335999812007813,1.0,-0.022222222222222223,negligible
pdr,grid-n60-load2.0-random_node_30-centralised,orbit-no-damping,orbit,30,0,0.19548622070189714,0.19548622070189714,0.0,0.0,0.0,0.9908646491726212,1.0,-0.006666666666666667,negligible
pdr,grid-n60-load2.0-random_node_30-centralised,orbit-restoration-only,orbit,30,0,0.1940846641143879,0.19548622070189714,0.0,-0.0009429741994232133,0.0,0.20815001514071008,1.0,-0.025555555555555557,negligible
pdr,ring-n60-load0.9-cascading-centralised,orbit-no-protection,orbit,30,0,0.2553536638209659,0.2553536638209659,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,ring-n60-load0.9-cascading-centralised,orbit-no-preemption,orbit,30,0,0.2553536638209659,0.2553536638209659,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,ring-n60-load0.9-cascading-centralised,orbit-no-damping,orbit,30,0,0.2553536638209659,0.2553536638209659,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,ring-n60-load0.9-cascading-centralised,orbit-restoration-only,orbit,30,0,0.2553536638209659,0.2553536638209659,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,ring-n60-load0.9-critical_link-centralised,orbit-no-protection,orbit,30,0,0.7820396020586655,0.7820396020586655,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,ring-n60-load0.9-critical_link-centralised,orbit-no-preemption,orbit,30,0,0.783111361807042,0.7820396020586655,0.0,0.0,1.1102230246251565e-16,0.3596169235491592,1.0,0.017777777777777778,negligible
pdr,ring-n60-load0.9-critical_link-centralised,orbit-no-damping,orbit,30,0,0.7820396020586655,0.7820396020586655,0.0,0.0,0.0,0.9908646491726212,1.0,0.0,negligible
pdr,ring-n60-load0.9-critical_link-centralised,orbit-restoration-only,orbit,30,0,0.783111361807042,0.7820396020586655,0.0,0.0,1.1102230246251565e-16,0.3596169235491592,1.0,0.017777777777777778,negligible
pdr,ring-n60-load0.9-random_node_30-centralised,orbit-no-protection,orbit,30,0,0.176947822436721,0.176947822436721,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,ring-n60-load0.9-random_node_30-centralised,orbit-no-preemption,orbit,30,0,0.176947822436721,0.176947822436721,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,ring-n60-load0.9-random_node_30-centralised,orbit-no-damping,orbit,30,0,0.176947822436721,0.176947822436721,0.0,0.0,0.0,1.0,1.0,0.0,negligible
pdr,ring-n60-load0.9-random_node_30-centralised,orbit-restoration-only,orbit,30,0,0.176947822436721,0.176947822436721,0.0,0.0,0.0,1.0,1.0,0.0,negligible
