scenario,algorithm,runs,censored,partitioned_fraction
waxman-n60-load0.7-critical_link-centralised,cspf,30,18,0.6
waxman-n60-load0.7-critical_link-centralised,ecmp,30,13,0.43333333333333335
waxman-n60-load0.7-critical_link-centralised,orbit,30,9,0.3
waxman-n60-load0.7-critical_link-centralised,spf-reconverge,30,13,0.43333333333333335
waxman-n60-load0.7-critical_link-centralised,spf-static,30,22,0.7333333333333333
waxman-n60-load0.7-critical_link-distributed,cspf,30,3,0.1
waxman-n60-load0.7-critical_link-distributed,ecmp,30,7,0.23333333333333334
waxman-n60-load0.7-critical_link-distributed,orbit,30,1,0.03333333333333333
waxman-n60-load0.7-critical_link-distributed,spf-reconverge,30,7,0.23333333333333334
waxman-n60-load0.7-critical_link-distributed,spf-static,30,26,0.8666666666666667
waxman-n60-load0.7-random_node_30-centralised,cspf,30,30,1.0
waxman-n60-load0.7-random_node_30-centralised,ecmp,30,30,1.0
waxman-n60-load0.7-random_node_30-centralised,orbit,30,30,1.0
waxman-n60-load0.7-random_node_30-centralised,spf-reconverge,30,30,1.0
waxman-n60-load0.7-random_node_30-centralised,spf-static,30,30,1.0
waxman-n60-load0.7-random_node_30-distributed,cspf,30,30,1.0
waxman-n60-load0.7-random_node_30-distributed,ecmp,30,30,1.0
waxman-n60-load0.7-random_node_30-distributed,orbit,30,30,1.0
waxman-n60-load0.7-random_node_30-distributed,spf-reconverge,30,30,1.0
waxman-n60-load0.7-random_node_30-distributed,spf-static,30,30,1.0
