metric,scenario,baseline,challenger,n_pairs,n_censored,baseline_median,challenger_median,median_difference,ci_low,ci_high,p_value,p_holm,cliffs_delta,effect
pdr,waxman-n60-load0.7-critical_link-centralised,cspf,orbit,30,0,0.7624567354044542,0.6832259077828042,-0.08087332524301877,-0.09532588723519997,-0.06599605514258422,1.862645149230957e-09,2.9802322387695312e-08,-0.8577777777777778,large
pdr,waxman-n60-load0.7-critical_link-centralised,ecmp,orbit,30,0,0.5545700212958153,0.6832259077828042,0.1331425426777958,0.12245364900147143,0.14157773576817673,1.862645149230957e-09,2.9802322387695312e-08,0.96,large
pdr,waxman-n60-load0.7-critical_link-centralised,spf-reconverge,orbit,30,0,0.5545700212958153,0.6832259077828042,0.1331425426777958,0.12245364900147143,0.14157773576817673,1.862645149230957e-09,2.9802322387695312e-08,0.96,large
pdr,waxman-n60-load0.7-critical_link-centralised,spf-static,orbit,30,0,0.5430049522201437,0.6832259077828042,0.14113371148347154,0.1299300081929442,0.1505870151406138,1.862645149230957e-09,2.9802322387695312e-08,0.9822222222222222,large
pdr,waxman-n60-load0.7-critical_link-distributed,cspf,orbit,30,0,0.7638814046073603,0.6935563378051697,-0.09025962888136285,-0.10928181871589909,-0.06056644563948044,5.587935447692871e-09,2.9802322387695312e-08,-0.6422222222222222,large
pdr,waxman-n60-load0.7-critical_link-distributed,ecmp,orbit,30,0,0.5684311354045564,0.6935563378051697,0.1191864545345187,0.10075963470137045,0.13341587362020563,1.862645149230957e-09,2.9802322387695312e-08,0.7777777777777778,large
pdr,waxman-n60-load0.7-critical_link-distributed,spf-reconverge,orbit,30,0,0.5684311354045564,0.6935563378051697,0.1191864545345187,0.10075963470137045,0.13341587362020563,1.862645149230957e-09,2.9802322387695312e-08,0.7777777777777778,large
pdr,waxman-n60-load0.7-critical_link-distributed,spf-static,orbit,30,0,0.5589562908419035,0.6935563378051697,0.12800576376236822,0.11016192690452539,0.14052030175916375,1.862645149230957e-09,2.9802322387695312e-08,0.7955555555555556,large
pdr,waxman-n60-load0.7-random_node_30-centralised,cspf,orbit,30,0,0.3671114863610344,0.32357113619331196,-0.046454822640092486,-0.05545944493163846,-0.03486611641400558,3.725290298461914e-09,2.9802322387695312e-08,-0.6133333333333333,large
pdr,waxman-n60-load0.7-random_node_30-centralised,ecmp,orbit,30,0,0.2829384387444638,0.32357113619331196,0.03251776509271562,0.02441630542511819,0.04646119645041305,1.862645149230957e-09,2.9802322387695312e-08,0.5733333333333334,large
pdr,waxman-n60-load0.7-random_node_30-centralised,spf-reconverge,orbit,30,0,0.2829384387444638,0.32357113619331196,0.03251776509271562,0.02441630542511819,0.04646119645041305,1.862645149230957e-09,2.9802322387695312e-08,0.5733333333333334,large
pdr,waxman-n60-load0.7-random_node_30-centralised,spf-static,orbit,30,0,0.2168747348780733,0.32357113619331196,0.09676459380128144,0.08686995840287486,0.11909956133663768,1.862645149230957e-09,2.9802322387695312e-08,0.94,large
pdr,waxman-n60-load0.7-random_node_30-distributed,cspf,orbit,30,0,0.3740292516024777,0.32324329497477977,-0.04391720754626122,-0.05518007028607527,-0.029848865589560375,3.725290298461914e-09,2.9802322387695312e-08,-0.6311111111111111,large
pdr,waxman-n60-load0.7-random_node_30-distributed,ecmp,orbit,30,0,0.28749309046556026,0.32324329497477977,0.037397234243327665,0.020384192406588036,0.05073351945947216,1.862645149230957e-09,2.9802322387695312e-08,0.5533333333333333,large
pdr,waxman-n60-load0.7-random_node_30-distributed,spf-reconverge,orbit,30,0,0.28749309046556026,0.32324329497477977,0.037397234243327665,0.020384192406588036,0.05073351945947216,1.862645149230957e-09,2.9802322387695312e-08,0.5533333333333333,large
pdr,waxman-n60-load0.7-random_node_30-distributed,spf-static,orbit,30,0,0.23829880447188773,0.32324329497477977,0.08799817422741461,0.07711383840149004,0.10411063353425945,1.862645149230957e-09,2.9802322387695312e-08,0.9444444444444444,large
