metric,scenario,baseline,challenger,n_pairs,n_censored,baseline_median,challenger_median,median_difference,ci_low,ci_high,p_value,p_holm,cliffs_delta,effect
throughput_mbps,waxman-n60-load0.7-critical_link-centralised,cspf,orbit,30,0,4968.580447120159,4444.620931309135,-535.6984443034326,-698.9809874153498,-413.22424533864523,1.862645149230957e-09,2.9802322387695312e-08,-0.48,large
throughput_mbps,waxman-n60-load0.7-critical_link-centralised,ecmp,orbit,30,0,3658.6027273955397,4444.620931309135,848.4333035234877,719.8460227260264,933.8831632707888,1.862645149230957e-09,2.9802322387695312e-08,0.7555555555555555,large
throughput_mbps,waxman-n60-load0.7-critical_link-centralised,spf-reconverge,orbit,30,0,3658.6027273955397,4444.620931309135,848.4333035234877,719.8460227260264,933.8831632707888,1.862645149230957e-09,2.9802322387695312e-08,0.7555555555555555,large
throughput_mbps,waxman-n60-load0.7-critical_link-centralised,spf-static,orbit,30,0,3594.8991286722035,4444.620931309135,889.9901260221095,753.8387171608256,971.2049385505575,1.862645149230957e-09,2.9802322387695312e-08,0.7688888888888888,large
throughput_mbps,waxman-n60-load0.7-critical_link-distributed,cspf,orbit,30,0,4536.619777612963,4216.82942887819,-538.0285294224698,-724.476758967349,-321.8690469756582,5.587935447692871e-09,2.9802322387695312e-08,-0.34,medium
throughput_mbps,waxman-n60-load0.7-critical_link-distributed,ecmp,orbit,30,0,3431.1715974216095,4216.82942887819,739.2867572439973,640.8010377892208,791.2768501618752,1.862645149230957e-09,2.9802322387695312e-08,0.5777777777777777,large
throughput_mbps,waxman-n60-load0.7-critical_link-distributed,spf-reconverge,orbit,30,0,3431.1715974216095,4216.82942887819,739.2867572439973,640.8010377892208,791.2768501618752,1.862645149230957e-09,2.9802322387695312e-08,0.5777777777777777,large
throughput_mbps,waxman-n60-load0.7-critical_link-distributed,spf-static,orbit,30,0,3352.6908944572924,4216.82942887819,783.2220417744318,679.4224192201095,855.8392631010049,1.862645149230957e-09,2.9802322387695312e-08,0.62,large
throughput_mbps,waxman-n60-load0.7-random_node_30-centralised,cspf,orbit,30,0,2512.640832148254,2236.9452669871034,-315.31712119691076,-370.82308495948314,-229.83247615509754,3.725290298461914e-09,2.9802322387695312e-08,-0.4088888888888889,medium
throughput_mbps,waxman-n60-load0.7-random_node_30-centralised,ecmp,orbit,30,0,1927.1559302070232,2236.9452669871034,233.2147508792268,157.5900817098459,310.4761071152392,1.862645149230957e-09,2.9802322387695312e-08,0.4222222222222222,medium
throughput_mbps,waxman-n60-load0.7-random_node_30-centralised,spf-reconverge,orbit,30,0,1927.1559302070232,2236.9452669871034,233.2147508792268,157.5900817098459,310.4761071152392,1.862645149230957e-09,2.9802322387695312e-08,0.4222222222222222,medium
throughput_mbps,waxman-n60-load0.7-random_node_30-centralised,spf-static,orbit,30,0,1427.9620095825935,2236.9452669871034,682.8084096407555,571.1235722702924,806.7919180695985,1.862645149230957e-09,2.9802322387695312e-08,0.8088888888888889,large
throughput_mbps,waxman-n60-load0.7-random_node_30-distributed,cspf,orbit,30,0,2322.6450714893435,2035.397619740089,-314.2474284658517,-355.19719247099556,-181.17918325628625,3.725290298461914e-09,2.9802322387695312e-08,-0.36,medium
throughput_mbps,waxman-n60-load0.7-random_node_30-distributed,ecmp,orbit,30,0,1872.2092890291092,2035.397619740089,213.7481650621346,156.35073223821678,328.28183217273624,1.862645149230957e-09,2.9802322387695312e-08,0.3622222222222222,medium
throughput_mbps,waxman-n60-load0.7-random_node_30-distributed,spf-reconverge,orbit,30,0,1872.2092890291092,2035.397619740089,213.7481650621346,156.35073223821678,328.28183217273624,1.862645149230957e-09,2.9802322387695312e-08,0.3622222222222222,medium
throughput_mbps,waxman-n60-load0.7-random_node_30-distributed,spf-static,orbit,30,0,1485.952748133535,2035.397619740089,562.7886429912613,533.1395230425807,635.2776030080773,1.862645149230957e-09,2.9802322387695312e-08,0.7066666666666667,large
