scenario,algorithm,n,pdr_critical_median,pdr_critical_iqr,pdr_critical_n,pdr_median,pdr_iqr,pdr_n,throughput_mbps_median,throughput_mbps_iqr,throughput_mbps_n,time_to_restore_critical_s_median,time_to_restore_critical_s_iqr,time_to_restore_critical_s_n,control_seconds_median,control_seconds_iqr,control_seconds_n,p95_latency_ms_median,p95_latency_ms_iqr,p95_latency_ms_n
waxman-n60-load0.7-critical_link-centralised,cspf,30,0.980683596373211,0.032697271013256035,30,0.7624567354044542,0.031997825815910486,30,4968.580447120159,1084.7162814438861,30,0.0,0.0,30,0.10542910000367556,0.028012475002469728,30,150.71802897494177,48.284898540828536,30
waxman-n60-load0.7-critical_link-centralised,ecmp,30,0.9394974876835389,0.08697178249011506,30,0.5545700212958153,0.031311699231475365,30,3658.6027273955397,492.8332572137824,30,0.0,0.2,29,0.1424724500029697,0.048155974993278505,30,150.89903026704803,0.49200397309033406,30
waxman-n60-load0.7-critical_link-centralised,orbit,30,0.9993639645135473,0.0005949194028760374,30,0.7359987813872426,0.04718103001285867,30,4783.044252215613,915.3863670254814,30,0.0,0.2,30,0.08230449999973644,0.03849732500384562,30,103.16645808982044,36.78874069080439,30
waxman-n60-load0.7-critical_link-centralised,spf-reconverge,30,0.9394974876835389,0.08697178249011506,30,0.5545700212958153,0.031311699231475365,30,3658.6027273955397,492.8332572137824,30,0.0,0.2,29,0.023788600003172178,0.010953124983643647,30,150.89903026704803,0.49200397309033406,30
waxman-n60-load0.7-critical_link-centralised,spf-static,30,0.8764721161559383,0.11418068910680135,30,0.5430049522201437,0.03805511514325466,30,3594.8991286722035,528.9376182952137,30,0.0,0.0,17,0.010279800000716932,0.010554799991950858,30,150.80596837684936,0.5623091903703425,30
waxman-n60-load0.7-critical_link-distributed,cspf,30,0.9983296715514363,0.026968537230188105,30,0.7638814046073603,0.062320336320362824,30,4536.619777612963,1342.6071720703267,30,0.0,0.0,30,0.11528740000358084,0.057096900021861074,30,104.07317266715803,47.94838341289558,30
waxman-n60-load0.7-critical_link-distributed,ecmp,30,0.954229800815863,0.10720268755615248,30,0.5684311354045564,0.08493121865073716,30,3431.1715974216095,739.7677029548436,30,0.15000000000000002,0.30000000000000004,30,0.11978880000242498,0.041674425010569394,30,150.96142177974815,35.92324617460872,30
waxman-n60-load0.7-critical_link-distributed,orbit,30,0.9988807752611735,0.0013862444215382297,30,0.745576971239439,0.06767805049642261,30,4419.130853604768,1262.1177400462466,30,0.15000000000000002,0.30000000000000004,30,0.06392544999835081,0.043785249999928055,30,102.8731232658505,48.97353469913918,30
waxman-n60-load0.7-critical_link-distributed,spf-reconverge,30,0.954229800815863,0.10720268755615248,30,0.5684311354045564,0.08493121865073716,30,3431.1715974216095,739.7677029548436,30,0.15000000000000002,0.30000000000000004,30,0.01875510001264047,0.011716124998201849,30,150.96142177974815,35.92324617460872,30
waxman-n60-load0.7-critical_link-distributed,spf-static,30,0.88752250761884,0.13713585926909866,30,0.5589562908419035,0.083151046564095,30,3352.6908944572924,725.7655076634874,30,0.0,0.0,15,0.009394250002515037,0.0020043999902554788,30,150.8484054864518,48.637585001545304,30
waxman-n60-load0.7-random_node_30-centralised,cspf,30,0.5149325875237609,0.13295957194539643,30,0.3671114863610344,0.05282400384704716,30,2512.640832148254,602.787672540263,30,,,0,0.06878085000789724,0.02692580000802991,30,105.45938127521202,48.65906411960806,30
waxman-n60-load0.7-random_node_30-centralised,ecmp,30,0.48329485999138777,0.12929882089342482,30,0.2829384387444638,0.046425224859038994,30,1927.1559302070232,522.7788211180718,30,,,0,0.09354729999904521,0.04968247500801226,30,151.14643266394776,1.01097698428498,30
