scenario,algorithm,runs,censored,partitioned_fraction
grid-n60-load0.7-cascading-centralised,cspf,30,24,0.8
grid-n60-load0.7-cascading-centralised,ecmp,30,30,1.0
grid-n60-load0.7-cascading-centralised,orbit,30,30,1.0
grid-n60-load0.7-cascading-centralised,spf-reconverge,30,30,1.0
grid-n60-load0.7-cascading-centralised,spf-static,30,10,0.3333333333333333
grid-n60-load0.7-congestion_surge-centralised,cspf,30,30,1.0
grid-n60-load0.7-congestion_surge-centralised,ecmp,30,25,0.8333333333333334
grid-n60-load0.7-congestion_surge-centralised,orbit,30,30,1.0
grid-n60-load0.7-congestion_surge-centralised,spf-reconverge,30,25,0.8333333333333334
grid-n60-load0.7-congestion_surge-centralised,spf-static,30,25,0.8333333333333334
grid-n60-load0.7-critical_link-centralised,cspf,30,7,0.23333333333333334
grid-n60-load0.7-critical_link-centralised,ecmp,30,17,0.5666666666666667
grid-n60-load0.7-critical_link-centralised,orbit,30,12,0.4
grid-n60-load0.7-critical_link-centralised,spf-reconverge,30,21,0.7
grid-n60-load0.7-critical_link-centralised,spf-static,30,27,0.9
grid-n60-load0.7-none-centralised,cspf,30,0,0.0
grid-n60-load0.7-none-centralised,ecmp,30,0,0.0
grid-n60-load0.7-none-centralised,orbit,30,0,0.0
grid-n60-load0.7-none-centralised,spf-reconverge,30,0,0.0
grid-n60-load0.7-none-centralised,spf-static,30,0,0.0
grid-n60-load0.7-random_node_10-centralised,cspf,30,30,1.0
grid-n60-load0.7-random_node_10-centralised,ecmp,30,30,1.0
grid-n60-load0.7-random_node_10-centralised,orbit,30,30,1.0
grid-n60-load0.7-random_node_10-centralised,spf-reconverge,30,30,1.0
grid-n60-load0.7-random_node_10-centralised,spf-static,30,30,1.0
grid-n60-load0.7-random_node_30-centralised,cspf,30,30,1.0
grid-n60-load0.7-random_node_30-centralised,ecmp,30,30,1.0
grid-n60-load0.7-random_node_30-centralised,orbit,30,30,1.0
grid-n60-load0.7-random_node_30-centralised,spf-reconverge,30,30,1.0
grid-n60-load0.7-random_node_30-centralised,spf-static,30,30,1.0
grid-n60-load0.7-regional_srlg-centralised,cspf,30,30,1.0
grid-n60-load0.7-regional_srlg-centralised,ecmp,30,30,1.0
grid-n60-load0.7-regional_srlg-centralised,orbit,30,30,1.0
grid-n60-load0.7-regional_srlg-centralised,spf-reconverge,30,30,1.0
grid-n60-load0.7-regional_srlg-centralised,spf-static,30,30,1.0
ring-n60-load0.7-cascading-centralised,cspf,30,26,0.8666666666666667
ring-n60-load0.7-cascading-centralised,ecmp,30,26,0.8666666666666667
ring-n60-load0.7-cascading-centralised,orbit,30,29,0.9666666666666667
ring-n60-load0.7-cascading-centralised,spf-reconverge,30,26,0.8666666666666667
ring-n60-load0.7-cascading-centralised,spf-static,30,28,0.9333333333333333
ring-n60-load0.7-congestion_surge-centralised,cspf,30,30,1.0
ring-n60-load0.7-congestion_surge-centralised,ecmp,30,30,1.0
ring-n60-load0.7-congestion_surge-centralised,orbit,30,30,1.0
ring-n60-load0.7-congestion_surge-centralised,spf-reconverge,30,30,1.0
