metric,scenario,baseline,challenger,n_pairs,n_censored,baseline_median,challenger_median,median_difference,ci_low,ci_high,p_value,p_holm,cliffs_delta,effect
pdr,grid-n60-load0.7-cascading-centralised,cspf,orbit,30,0,0.7521585768749688,0.7528925859406203,0.0006790021760890719,-0.017152554935504716,0.012123498765261975,0.7303419969975948,1.0,0.051111111111111114,negligible
pdr,grid-n60-load0.7-cascading-centralised,ecmp,orbit,30,0,0.7116210192001473,0.7528925859406203,0.04367181718949692,0.024956892911925543,0.056897612282569066,1.597777009010315e-05,0.0007669329643249512,0.49777777777777776,large
pdr,grid-n60-load0.7-cascading-centralised,spf-reconverge,orbit,30,0,0.6525913200976525,0.7528925859406203,0.1064593806812047,0.08939563885482704,0.12047656066223467,3.725290298461914e-09,2.123415470123291e-07,0.9533333333333334,large
pdr,grid-n60-load0.7-cascading-centralised,spf-static,orbit,30,0,0.5457142172064173,0.7528925859406203,0.2036390676459111,0.18975350530371293,0.2165197360167883,1.862645149230957e-09,2.086162567138672e-07,1.0,large
pdr,grid-n60-load0.7-congestion_surge-centralised,cspf,orbit,30,0,0.5095571580081193,0.5129018596183186,0.0020403581961149775,-0.008201199189867558,0.007325299810818864,0.871207794174552,1.0,0.028888888888888888,negligible
pdr,grid-n60-load0.7-congestion_surge-centralised,ecmp,orbit,30,0,0.5008316371387908,0.5129018596183186,0.007286444116495483,-0.003391896882642853,0.012967631256709689,0.010598260909318924,0.29675130546092987,0.16666666666666666,small
pdr,grid-n60-load0.7-congestion_surge-centralised,spf-reconverge,orbit,30,0,0.4666970708581214,0.5129018596183186,0.05104342643665849,0.037343710120573526,0.05722536894890995,1.862645149230957e-09,2.086162567138672e-07,0.8311111111111111,large
pdr,grid-n60-load0.7-congestion_surge-centralised,spf-static,orbit,30,0,0.4666970708581214,0.5129018596183186,0.05104342643665849,0.037343710120573526,0.05722536894890995,1.862645149230957e-09,2.086162567138672e-07,0.8311111111111111,large
pdr,grid-n60-load0.7-critical_link-centralised,cspf,orbit,30,0,0.9873302327479755,0.979218381969355,-0.003495220653704778,-0.006304383600490515,0.0006601084683779401,0.047259049490094185,1.0,-0.11777777777777777,negligible
pdr,grid-n60-load0.7-critical_link-centralised,ecmp,orbit,30,0,0.8803406413477031,0.979218381969355,0.11141524267296993,0.09624179626276358,0.1154153397524007,1.862645149230957e-09,2.086162567138672e-07,1.0,large
