metric,scenario,baseline,challenger,n_pairs,n_censored,baseline_median,challenger_median,median_difference,ci_low,ci_high,p_value,p_holm,cliffs_delta,effect
time_to_restore_critical_s,grid-n60-load0.7-cascading-centralised,cspf,orbit,29,1,0.2,0.2,0.0,0.0,0.0,0.806270221261416,1.0,-0.034482758620689655,negligible
time_to_restore_critical_s,grid-n60-load0.7-cascading-centralised,ecmp,orbit,30,0,0.0,0.2,0.0,0.0,0.2,0.046130538005662046,1.0,0.26666666666666666,small
time_to_restore_critical_s,grid-n60-load0.7-cascading-centralised,spf-reconverge,orbit,29,1,0.0,0.2,0.0,0.0,0.2,0.020911874164085447,0.9201224632197597,0.3103448275862069,small
time_to_restore_critical_s,grid-n60-load0.7-cascading-centralised,spf-static,orbit,28,2,0.0,0.2,0.2,0.0,0.2,6.122166053903683e-05,0.003244748008568952,0.6071428571428571,large
time_to_restore_critical_s,grid-n60-load0.7-congestion_surge-centralised,cspf,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,grid-n60-load0.7-congestion_surge-centralised,ecmp,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,grid-n60-load0.7-congestion_surge-centralised,spf-reconverge,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,grid-n60-load0.7-congestion_surge-centralised,spf-static,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,grid-n60-load0.7-critical_link-centralised,cspf,orbit,30,0,0.0,0.0,0.0,0.0,0.0,0.22692532109960284,1.0,0.13333333333333333,negligible
time_to_restore_critical_s,grid-n60-load0.7-critical_link-centralised,ecmp,orbit,30,0,0.0,0.0,0.0,0.0,0.1,0.006281574176101232,0.2889524121006567,0.3333333333333333,medium
time_to_restore_critical_s,grid-n60-load0.7-critical_link-centralised,spf-reconverge,orbit,30,0,0.0,0.0,0.0,0.0,0.0,0.7277235466695502,1.0,-0.03333333333333333,negligible
time_to_restore_critical_s,grid-n60-load0.7-critical_link-centralised,spf-static,orbit,19,11,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,grid-n60-load0.7-random_node_10-centralised,cspf,orbit,3,27,0.2,0.2,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,grid-n60-load0.7-random_node_10-centralised,ecmp,orbit,3,27,0.2,0.2,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,grid-n60-load0.7-random_node_10-centralised,spf-reconverge,orbit,3,27,0.2,0.2,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,ring-n60-load0.7-cascading-centralised,cspf,orbit,21,9,0.2,0.2,0.0,0.0,0.0,0.6830913983096087,1.0,0.047619047619047616,negligible
time_to_restore_critical_s,ring-n60-load0.7-cascading-centralised,ecmp,orbit,20,10,0.2,0.2,0.0,0.0,0.0,0.25046077432462144,1.0,0.15,small
time_to_restore_critical_s,ring-n60-load0.7-cascading-centralised,spf-reconverge,orbit,20,10,0.2,0.2,0.0,0.0,0.0,0.25046077432462144,1.0,0.15,small
time_to_restore_critical_s,ring-n60-load0.7-cascading-centralised,spf-static,orbit,4,26,0.0,0.0,0.0,0.0,0.2,1.0,1.0,0.25,small
time_to_restore_critical_s,ring-n60-load0.7-congestion_surge-centralised,cspf,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,ring-n60-load0.7-congestion_surge-centralised,ecmp,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,ring-n60-load0.7-congestion_surge-centralised,spf-reconverge,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,ring-n60-load0.7-congestion_surge-centralised,spf-static,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,ring-n60-load0.7-critical_link-centralised,cspf,orbit,30,0,0.2,0.2,0.0,0.0,0.0,0.7277235466695502,1.0,-0.03333333333333333,negligible
time_to_restore_critical_s,ring-n60-load0.7-critical_link-centralised,ecmp,orbit,30,0,0.2,0.2,0.0,0.0,0.0,0.7277235466695502,1.0,0.03333333333333333,negligible
time_to_restore_critical_s,ring-n60-load0.7-critical_link-centralised,spf-reconverge,orbit,30,0,0.2,0.2,0.0,0.0,0.0,0.7277235466695502,1.0,0.03333333333333333,negligible
time_to_restore_critical_s,ring-n60-load0.7-critical_link-centralised,spf-static,orbit,2,28,0.0,0.1,0.1,0.0,0.2,1.0,1.0,0.5,large
time_to_restore_critical_s,scale_free-n60-load0.7-cascading-centralised,cspf,orbit,27,3,0.0,0.2,0.2,0.0,0.2,0.0003829590692792047,0.01953091253323944,0.5555555555555556,large
time_to_restore_critical_s,scale_free-n60-load0.7-cascading-centralised,ecmp,orbit,27,3,0.0,0.2,0.2,0.0,0.2,3.0833234828474924e-05,0.0016649946807376459,0.6666666666666666,large
time_to_restore_critical_s,scale_free-n60-load0.7-cascading-centralised,spf-reconverge,orbit,27,3,0.0,0.2,0.2,0.0,0.2,0.0006954420571369356,0.03477210285684678,0.5185185185185185,large
time_to_restore_critical_s,scale_free-n60-load0.7-cascading-centralised,spf-static,orbit,21,9,0.0,0.2,0.2,0.2,0.2,7.202708456299508e-05,0.0037454083972757444,0.7619047619047619,large
time_to_restore_critical_s,scale_free-n60-load0.7-congestion_surge-centralised,cspf,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,scale_free-n60-load0.7-congestion_surge-centralised,ecmp,orbit,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
