scenario,algorithm,runs,censored,partitioned_fraction
waxman-n60-load0.3-critical_link-centralised,cspf,30,1,0.03333333333333333
waxman-n60-load0.3-critical_link-centralised,ecmp,30,9,0.3
waxman-n60-load0.3-critical_link-centralised,orbit,30,1,0.03333333333333333
waxman-n60-load0.3-critical_link-centralised,spf-reconverge,30,9,0.3
waxman-n60-load0.3-critical_link-centralised,spf-static,30,24,0.8
waxman-n60-load0.5-critical_link-centralised,cspf,30,3,0.1
waxman-n60-load0.5-critical_link-centralised,ecmp,30,9,0.3
waxman-n60-load0.5-critical_link-centralised,orbit,30,8,0.26666666666666666
waxman-n60-load0.5-critical_link-centralised,spf-reconverge,30,9,0.3
waxman-n60-load0.5-critical_link-centralised,spf-static,30,25,0.8333333333333334
waxman-n60-load0.7-critical_link-centralised,cspf,30,18,0.6
waxman-n60-load0.7-critical_link-centralised,ecmp,30,13,0.43333333333333335
waxman-n60-load0.7-critical_link-centralised,orbit,30,9,0.3
waxman-n60-load0.7-critical_link-centralised,spf-reconverge,30,13,0.43333333333333335
waxman-n60-load0.7-critical_link-centralised,spf-static,30,22,0.7333333333333333
waxman-n60-load0.9-critical_link-centralised,cspf,30,24,0.8
waxman-n60-load0.9-critical_link-centralised,ecmp,30,12,0.4
waxman-n60-load0.9-critical_link-centralised,orbit,30,15,0.5
waxman-n60-load0.9-critical_link-centralised,spf-reconverge,30,12,0.4
waxman-n60-load0.9-critical_link-centralised,spf-static,30,16,0.5333333333333333
waxman-n60-load1.2-critical_link-centralised,cspf,30,23,0.7666666666666667
waxman-n60-load1.2-critical_link-centralised,ecmp,30,13,0.43333333333333335
waxman-n60-load1.2-critical_link-centralised,orbit,30,24,0.8
waxman-n60-load1.2-critical_link-centralised,spf-reconverge,30,13,0.43333333333333335
waxman-n60-load1.2-critical_link-centralised,spf-static,30,21,0.7
