metric,scenario,baseline,challenger,n_pairs,n_censored,baseline_median,challenger_median,median_difference,ci_low,ci_high,p_value,p_holm,cliffs_delta,effect
pdr,waxman-n60-load0.3-critical_link-centralised,cspf,orbit,30,0,0.9969846839145529,0.9970477474486714,1.8102873660663654e-06,-1.6287354093369455e-05,4.6579578810490574e-05,0.6883280629243899,0.6883280629243899,-0.01888888888888889,negligible
pdr,waxman-n60-load0.3-critical_link-centralised,ecmp,orbit,30,0,0.8747735512430488,0.9970477474486714,0.10251345384308963,0.09355230479526866,0.1274617137695132,1.862645149230957e-09,3.725290298461914e-08,0.9911111111111112,large
pdr,waxman-n60-load0.3-critical_link-centralised,spf-reconverge,orbit,30,0,0.8747735512430488,0.9970477474486714,0.10251345384308963,0.09355230479526866,0.1274617137695132,1.862645149230957e-09,3.725290298461914e-08,0.9911111111111112,large
pdr,waxman-n60-load0.3-critical_link-centralised,spf-static,orbit,30,0,0.8555277264832228,0.9970477474486714,0.13576984239493972,0.1223087318405019,0.149063410934541,1.862645149230957e-09,3.725290298461914e-08,0.9955555555555555,large
pdr,waxman-n60-load0.5-critical_link-centralised,cspf,orbit,30,0,0.9360426908178163,0.922938574858547,-0.009290261528763721,-0.016769804094690977,-0.004438395720262556,8.326023817062378e-07,3.330409526824951e-06,-0.22444444444444445,small
pdr,waxman-n60-load0.5-critical_link-centralised,ecmp,orbit,30,0,0.6686125827072269,0.922938574858547,0.2578777487266978,0.2339763766911248,0.2698039190700619,1.862645149230957e-09,3.725290298461914e-08,1.0,large
pdr,waxman-n60-load0.5-critical_link-centralised,spf-reconverge,orbit,30,0,0.6686125827072269,0.922938574858547,0.2578777487266978,0.2339763766911248,0.2698039190700619,1.862645149230957e-09,3.725290298461914e-08,1.0,large
pdr,waxman-n60-load0.5-critical_link-centralised,spf-static,orbit,30,0,0.6534760981735778,0.922938574858547,0.2657325678164143,0.2469038308269484,0.28678815633347643,1.862645149230957e-09,3.725290298461914e-08,1.0,large
pdr,waxman-n60-load0.7-critical_link-centralised,cspf,orbit,30,0,0.7624567354044542,0.7359987813872426,-0.023921283122262882,-0.031743490773150196,-0.008589988796527004,0.0001528710126876831,0.00033174455165863037,-0.4,medium
pdr,waxman-n60-load0.7-critical_link-centralised,ecmp,orbit,30,0,0.5545700212958153,0.7359987813872426,0.18863993834392384,0.17231344298211188,0.2007754056437675,1.862645149230957e-09,3.725290298461914e-08,1.0,large
pdr,waxman-n60-load0.7-critical_link-centralised,spf-reconverge,orbit,30,0,0.5545700212958153,0.7359987813872426,0.18863993834392384,0.17231344298211188,0.2007754056437675,1.862645149230957e-09,3.725290298461914e-08,1.0,large
pdr,waxman-n60-load0.7-critical_link-centralised,spf-static,orbit,30,0,0.5430049522201437,0.7359987813872426,0.18932403131007353,0.177350206498529,0.21442828993982288,1.862645149230957e-09,3.725290298461914e-08,1.0,large
pdr,waxman-n60-load0.9-critical_link-centralised,cspf,orbit,30,0,0.6029898567167762,0.578967424272272,-0.02819777626155512,-0.030926825504863698,-0.0208881045652623,6.146728992462158e-08,3.073364496231079e-07,-0.32,small
pdr,waxman-n60-load0.9-critical_link-centralised,ecmp,orbit,30,0,0.4484476679627343,0.578967424272272,0.1285855129597211,0.11817106982516584,0.147856186773964,1.862645149230957e-09,3.725290298461914e-08,1.0,large
pdr,waxman-n60-load0.9-critical_link-centralised,spf-reconverge,orbit,30,0,0.4484476679627343,0.578967424272272,0.1285855129597211,0.11817106982516584,0.147856186773964,1.862645149230957e-09,3.725290298461914e-08,1.0,large
pdr,waxman-n60-load0.9-critical_link-centralised,spf-static,orbit,30,0,0.4461652796659983,0.578967424272272,0.13122352330604076,0.12154424622582435,0.1515160510720848,1.862645149230957e-09,3.725290298461914e-08,1.0,large
pdr,waxman-n60-load1.2-critical_link-centralised,cspf,orbit,30,0,0.4553304965459005,0.441249675207503,-0.01556187264914849,-0.024793161697308636,-0.006055288275002707,0.00011058151721954346,0.00033174455165863037,-0.25555555555555554,small
pdr,waxman-n60-load1.2-critical_link-centralised,ecmp,orbit,30,0,0.3652714549189997,0.441249675207503,0.08030152961701958,0.07197803486789928,0.08716377859344218,1.862645149230957e-09,3.725290298461914e-08,0.9244444444444444,large
pdr,waxman-n60-load1.2-critical_link-centralised,spf-reconverge,orbit,30,0,0.3652714549189997,0.441249675207503,0.08030152961701958,0.07197803486789928,0.08716377859344218,1.862645149230957e-09,3.725290298461914e-08,0.9244444444444444,large
pdr,waxman-n60-load1.2-critical_link-centralised,spf-static,orbit,30,0,0.3634763686253899,0.441249675207503,0.08613651676893339,0.07687038747984287,0.09130127373179456,1.862645149230957e-09,3.725290298461914e-08,0.9444444444444444,large
