metric,scenario,baseline,challenger,n_pairs,n_censored,baseline_median,challenger_median,median_difference,ci_low,ci_high,p_value,p_holm,cliffs_delta,effect
pdr_critical,waxman-n60-load0.3-critical_link-centralised,cspf,orbit,30,0,0.9996323761105137,0.9993830530421197,-8.064606246283024e-05,-0.00039985743467640944,0.0,0.013173656773037138,0.10538925418429711,-0.2677777777777778,small
pdr_critical,waxman-n60-load0.3-critical_link-centralised,ecmp,orbit,30,0,0.9990993693561974,0.9993830530421197,0.00035312808003418183,0.0,0.0006268164961886757,0.007937425818002025,0.07937425818002025,0.2288888888888889,small
pdr_critical,waxman-n60-load0.3-critical_link-centralised,spf-reconverge,orbit,30,0,0.9990993693561974,0.9993830530421197,0.00035312808003418183,0.0,0.0006268164961886757,0.007937425818002025,0.07937425818002025,0.2288888888888889,small
pdr_critical,waxman-n60-load0.3-critical_link-centralised,spf-static,orbit,30,0,0.948492227236174,0.9993830530421197,0.050882128656669634,0.02498873219025155,0.08989821187093122,2.2633465428971458e-05,0.0003395019814345719,0.6233333333333333,large
pdr_critical,waxman-n60-load0.5-critical_link-centralised,cspf,orbit,30,0,0.9998372238217895,0.9993081892695429,0.0,-0.0003972529817276027,0.0,0.04177210715752923,0.2506326429451754,-0.20333333333333334,small
pdr_critical,waxman-n60-load0.5-critical_link-centralised,ecmp,orbit,30,0,0.9985356902495779,0.9993081892695429,0.0008714458364987299,0.0,0.009508362179163177,3.667866056246051e-05,0.0004985918609664021,0.35888888888888887,medium
pdr_critical,waxman-n60-load0.5-critical_link-centralised,spf-reconverge,orbit,30,0,0.9985356902495779,0.9993081892695429,0.0008714458364987299,0.0,0.009508362179163177,3.667866056246051e-05,0.0004985918609664021,0.35888888888888887,medium
pdr_critical,waxman-n60-load0.5-critical_link-centralised,spf-static,orbit,30,0,0.9359500027354737,0.9993081892695429,0.05101682570617089,0.031886902061745936,0.09122801751722953,2.8612732764564793e-06,5.1502918976216626e-05,0.7244444444444444,large
pdr_critical,waxman-n60-load0.7-critical_link-centralised,cspf,orbit,30,0,0.980683596373211,0.9993587150835104,0.0004503364942995969,-0.0004623105032716124,0.010620389285697418,0.22883118633454458,0.9142112880945206,0.15888888888888889,small
pdr_critical,waxman-n60-load0.7-critical_link-centralised,ecmp,orbit,30,0,0.9394974876835389,0.9993587150835104,0.040848850907859446,0.020139163890280976,0.08996268451004613,3.561370435474301e-05,0.0004985918609664021,0.7122222222222222,large
pdr_critical,waxman-n60-load0.7-critical_link-centralised,spf-reconverge,orbit,30,0,0.9394974876835389,0.9993587150835104,0.040848850907859446,0.020139163890280976,0.08996268451004613,3.561370435474301e-05,0.0004985918609664021,0.7122222222222222,large
pdr_critical,waxman-n60-load0.7-critical_link-centralised,spf-static,orbit,30,0,0.8764721161559383,0.9993587150835104,0.11286364545131022,0.07306835453346883,0.1287602903431928,2.2372707133508064e-06,4.250814355366532e-05,0.8433333333333334,large
pdr_critical,waxman-n60-load0.9-critical_link-centralised,cspf,orbit,30,0,0.9295494537105626,0.9511104306552802,0.013552211063458441,-0.013538834663575416,0.03804566514264951,0.22855282202363014,0.9142112880945206,0.2733333333333333,small
pdr_critical,waxman-n60-load0.9-critical_link-centralised,ecmp,orbit,30,0,0.8550820119137219,0.9511104306552802,0.08602693030682285,0.04607863910456356,0.11881220234302681,1.218356192111969e-05,0.00020712055265903473,0.64,large
pdr_critical,waxman-n60-load0.9-critical_link-centralised,spf-reconverge,orbit,30,0,0.8550820119137219,0.9511104306552802,0.08602693030682285,0.04607863910456356,0.11881220234302681,1.218356192111969e-05,0.00020712055265903473,0.64,large
pdr_critical,waxman-n60-load0.9-critical_link-centralised,spf-static,orbit,30,0,0.8289334249119172,0.9511104306552802,0.1323765645528961,0.07455232149547036,0.148753241901543,1.1920928955078125e-06,2.384185791015625e-05,0.82,large
pdr_critical,waxman-n60-load1.2-critical_link-centralised,cspf,orbit,30,0,0.8094032623574342,0.7434678545023512,-0.07989562514444348,-0.14247692850164284,0.023392404246642295,0.034536734223365784,0.24175713956356049,-0.26222222222222225,small
pdr_critical,waxman-n60-load1.2-critical_link-centralised,ecmp,orbit,30,0,0.7442065022167658,0.7434678545023512,0.028447601793629484,-0.05830520603510636,0.061822910570467515,0.7303419969975948,1.0,0.04666666666666667,negligible
pdr_critical,waxman-n60-load1.2-critical_link-centralised,spf-reconverge,orbit,30,0,0.7442065022167658,0.7434678545023512,0.028447601793629484,-0.05830520603510636,0.061822910570467515,0.7303419969975948,1.0,0.04666666666666667,negligible
pdr_critical,waxman-n60-load1.2-critical_link-centralised,spf-static,orbit,30,0,0.7088029294555366,0.7434678545023512,0.03333736732637699,-0.018529256755819068,0.1142813320287252,0.12935307621955872,0.6467653810977936,0.16444444444444445,small
