metric,scenario,baseline,challenger,n_pairs,n_censored,baseline_median,challenger_median,median_difference,ci_low,ci_high,p_value,p_holm,cliffs_delta,effect
time_to_restore_critical_s,waxman-n60-load0.3-critical_link-centralised,cspf,orbit,30,0,0.0,0.0,0.0,0.0,0.0,0.2743570387024524,1.0,0.13333333333333333,negligible
time_to_restore_critical_s,waxman-n60-load0.3-critical_link-centralised,ecmp,orbit,30,0,0.2,0.0,0.0,0.0,0.0,0.14111342613370018,1.0,-0.16666666666666666,small
time_to_restore_critical_s,waxman-n60-load0.3-critical_link-centralised,spf-reconverge,orbit,30,0,0.2,0.0,0.0,0.0,0.0,0.14111342613370018,1.0,-0.16666666666666666,small
time_to_restore_critical_s,waxman-n60-load0.3-critical_link-centralised,spf-static,orbit,13,17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.07692307692307693,negligible
time_to_restore_critical_s,waxman-n60-load0.5-critical_link-centralised,cspf,orbit,29,1,0.0,0.2,0.0,0.0,0.0,0.0820789877656831,1.0,0.20689655172413793,small
time_to_restore_critical_s,waxman-n60-load0.5-critical_link-centralised,ecmp,orbit,28,2,0.2,0.1,0.0,0.0,0.0,0.7359781692979833,1.0,-0.03571428571428571,negligible
time_to_restore_critical_s,waxman-n60-load0.5-critical_link-centralised,spf-reconverge,orbit,28,2,0.2,0.1,0.0,0.0,0.0,0.7359781692979833,1.0,-0.03571428571428571,negligible
time_to_restore_critical_s,waxman-n60-load0.5-critical_link-centralised,spf-static,orbit,13,17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.07692307692307693,negligible
time_to_restore_critical_s,waxman-n60-load0.7-critical_link-centralised,cspf,orbit,30,0,0.0,0.0,0.0,0.0,0.0,0.14111342613370018,1.0,0.16666666666666666,small
time_to_restore_critical_s,waxman-n60-load0.7-critical_link-centralised,ecmp,orbit,29,1,0.0,0.0,0.0,0.0,0.0,0.37223831859508094,1.0,-0.10344827586206896,negligible
time_to_restore_critical_s,waxman-n60-load0.7-critical_link-centralised,spf-reconverge,orbit,29,1,0.0,0.0,0.0,0.0,0.0,0.37223831859508094,1.0,-0.10344827586206896,negligible
time_to_restore_critical_s,waxman-n60-load0.7-critical_link-centralised,spf-static,orbit,17,13,0.0,0.0,0.0,0.0,0.0,0.39489095121872864,1.0,0.11764705882352941,negligible
time_to_restore_critical_s,waxman-n60-load0.9-critical_link-centralised,cspf,orbit,26,4,0.0,0.0,0.0,0.0,0.1,0.016870901829037867,0.3374180365807573,0.3076923076923077,small
time_to_restore_critical_s,waxman-n60-load0.9-critical_link-centralised,ecmp,orbit,29,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,waxman-n60-load0.9-critical_link-centralised,spf-reconverge,orbit,29,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,negligible
time_to_restore_critical_s,waxman-n60-load0.9-critical_link-centralised,spf-static,orbit,18,12,0.0,0.0,0.0,0.0,0.0,0.1276098143995765,1.0,0.2222222222222222,small
time_to_restore_critical_s,waxman-n60-load1.2-critical_link-centralised,cspf,orbit,22,8,0.0,0.1,0.0,0.0,0.2,0.034528590267266346,0.6560432150780606,0.3181818181818182,small
time_to_restore_critical_s,waxman-n60-load1.2-critical_link-centralised,ecmp,orbit,25,5,0.0,0.0,0.0,0.0,0.0,0.49527203774057627,1.0,-0.08,negligible
time_to_restore_critical_s,waxman-n60-load1.2-critical_link-centralised,spf-reconverge,orbit,25,5,0.0,0.0,0.0,0.0,0.0,0.49527203774057627,1.0,-0.08,negligible
time_to_restore_critical_s,waxman-n60-load1.2-critical_link-centralised,spf-static,orbit,13,17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.07692307692307693,negligible
