scenario,algorithm,n,pdr_critical_median,pdr_critical_iqr,pdr_critical_n,pdr_median,pdr_iqr,pdr_n,throughput_mbps_median,throughput_mbps_iqr,throughput_mbps_n,time_to_restore_critical_s_median,time_to_restore_critical_s_iqr,time_to_restore_critical_s_n,control_seconds_median,control_seconds_iqr,control_seconds_n,p95_latency_ms_median,p95_latency_ms_iqr,p95_latency_ms_n
waxman-n60-load0.3-critical_link-centralised,cspf,30,0.9996323761105137,0.0007683529332681571,30,0.9969846839145529,0.016103649472350656,30,2616.23803181739,326.1010652788086,30,0.0,0.15000000000000002,30,0.09836274999543093,0.04261025000596419,30,2.8326785617711794,0.5821859078255804,30
waxman-n60-load0.3-critical_link-centralised,ecmp,30,0.9990993693561974,0.0014015814869717813,30,0.8747735512430488,0.04878290942368313,30,2286.008856660819,258.361696832344,30,0.2,0.2,30,0.1412090499943588,0.05782917500619078,30,100.7848045809408,0.8732715158657243,30
waxman-n60-load0.3-critical_link-centralised,orbit,30,0.9993830530421197,0.000393119543760978,30,0.9970477474486714,0.015969676566406354,30,2616.3337238027107,326.0412918323327,30,0.0,0.2,30,0.05106990000786027,0.043077025013189996,30,2.653655170947699,0.7200359405703662,30
waxman-n60-load0.3-critical_link-centralised,spf-reconverge,30,0.9990993693561974,0.0014015814869717813,30,0.8747735512430488,0.04878290942368313,30,2286.008856660819,258.361696832344,30,0.2,0.2,30,0.019709750013134908,0.011941774984734366,30,100.7848045809408,0.8732715158657243,30
waxman-n60-load0.3-critical_link-centralised,spf-static,30,0.948492227236174,0.08204575813618842,30,0.8555277264832228,0.03387162599060001,30,2249.252955424742,261.746843945446,30,0.0,0.0,13,0.009348700004920829,0.0013005000000703149,30,100.76516387891479,48.60256820103748,30
waxman-n60-load0.5-critical_link-centralised,cspf,30,0.9998372238217895,0.000816328576628722,30,0.9360426908178163,0.05621874484979561,30,4350.833890258956,1100.1472325981085,30,0.0,0.2,29,0.10409105000144336,0.03148427499399986,30,52.41745184384547,1.4587746946659834,30
waxman-n60-load0.5-critical_link-centralised,ecmp,30,0.9985356902495779,0.016565351191830335,30,0.6686125827072269,0.07542009876305544,30,3148.077987933426,807.5528415666172,30,0.2,0.2,28,0.14724399999977322,0.05545467500996892,30,101.85642022444031,49.1723629704793,30
waxman-n60-load0.5-critical_link-centralised,orbit,30,0.9993081892695429,0.0004778421598180538,30,0.922938574858547,0.06243567446768483,30,4242.696287480991,1012.1112543730665,30,0.2,0.2,29,0.057331650001287926,0.035476250002830056,30,53.056572301497056,4.856106622271888,30
waxman-n60-load0.5-critical_link-centralised,spf-reconverge,30,0.9985356902495779,0.016565351191830335,30,0.6686125827072269,0.07542009876305544,30,3148.077987933426,807.5528415666172,30,0.2,0.2,28,0.027772300003562123,0.01584159998310497,30,101.85642022444031,49.1723629704793,30
waxman-n60-load0.5-critical_link-centralised,spf-static,30,0.9359500027354737,0.08489410579753076,30,0.6534760981735778,0.08177106363353825,30,3133.404128891949,774.8911873959005,30,0.0,0.0,13,0.009990899998228997,0.00198610000370536,30,101.59650245429515,11.959191836231781,30
waxman-n60-load0.7-critical_link-centralised,cspf,30,0.980683596373211,0.032697271013256035,30,0.7624567354044542,0.031997825815910486,30,4968.580447120159,1084.7162814438861,30,0.0,0.0,30,0.10365725000883685,0.034661825022340054,30,150.71802897494177,48.284898540828536,30
waxman-n60-load0.7-critical_link-centralised,ecmp,30,0.9394974876835389,0.08697178249011506,30,0.5545700212958153,0.031311699231475365,30,3658.6027273955397,492.8332572137824,30,0.0,0.2,29,0.1372509000066202,0.05259700000897283,30,150.89903026704803,0.49200397309033406,30
waxman-n60-load0.7-critical_link-centralised,orbit,30,0.9993639645135473,0.0005949194028760374,30,0.7359987813872426,0.04718103001285867,30,4783.044252215613,915.3863670254814,30,0.0,0.2,30,0.0762135999975726,0.039512724993983284,30,103.16645808982044,36.78874069080439,30
waxman-n60-load0.7-critical_link-centralised,spf-reconverge,30,0.9394974876835389,0.08697178249011506,30,0.5545700212958153,0.031311699231475365,30,3658.6027273955397,492.8332572137824,30,0.0,0.2,29,0.02103184999577934,0.017134675010311184,30,150.89903026704803,0.49200397309033406,30
waxman-n60-load0.7-critical_link-centralised,spf-static,30,0.8764721161559383,0.11418068910680135,30,0.5430049522201437,0.03805511514325466,30,3594.8991286722035,528.9376182952137,30,0.0,0.0,17,0.01021234998916043,0.009645725003792904,30,150.80596837684936,0.5623091903703425,30
waxman-n60-load0.9-critical_link-centralised,cspf,30,0.9295494537105626,0.06592024489031645,30,0.6029898567167762,0.05768849416571076,30,5321.318431034741,789.5505686413462,30,0.0,0.0,26,0.0970366500041564,0.0627904499961005,30,151.92908523109048,1.0223877373417452,30
waxman-n60-load0.9-critical_link-centralised,ecmp,30,0.8550820119137219,0.09712752588985307,30,0.4484476679627343,0.07049127155532953,30,3835.6918610702273,464.5866726534523,30,0.0,0.2,29,0.14256664999265922,0.062044624999543885,30,151.2247671063372,0.4442852787050242,30
waxman-n60-load0.9-critical_link-centralised,orbit,30,0.9918973353263256,0.030051767155071074,30,0.578967424272272,0.0729297227278376,30,5033.535583282064,686.5791037106392,30,0.0,0.2,30,0.09121990000130609,0.03465832498841337,30,151.7578132057921,2.9784788182703608,30
waxman-n60-load0.9-critical_link-centralised,spf-reconverge,30,0.8550820119137219,0.09712752588985307,30,0.4484476679627343,0.07049127155532953,30,3835.6918610702273,464.5866726534523,30,0.0,0.2,29,0.01962755000567995,0.011964649998844834,30,151.2247671063372,0.4442852787050242,30
waxman-n60-load0.9-critical_link-centralised,spf-static,30,0.8289334249119172,0.11412480180637952,30,0.4461652796659983,0.06703439679548873,30,3854.2366498109586,417.307326598278,30,0.0,0.0,18,0.009813350006879773,0.009917850013152929,30,151.15766268532536,0.29787720490722336,30
waxman-n60-load1.2-critical_link-centralised,cspf,30,0.8094032623574342,0.07690206444702641,30,0.4553304965459005,0.04554251034277729,30,5059.467162583895,941.9834633470809,30,0.0,0.0,23,0.10020000000076834,0.051198575012676883,30,200.7264961406462,49.21655718891486,30
waxman-n60-load1.2-critical_link-centralised,ecmp,30,0.7442065022167658,0.11410635090916954,30,0.3652714549189997,0.04309346666317826,30,4054.478742834255,991.717094353281,30,0.0,0.2,27,0.12981799998669885,0.05915214999913587,30,151.6916085323644,49.63638822232272,30
waxman-n60-load1.2-critical_link-centralised,orbit,30,0.949730544893072,0.04827770816068888,30,0.441249675207503,0.062260733158521264,30,4951.426374719375,831.5272143104994,30,0.0,0.2,26,0.110791999992216,0.06084227500105044,30,202.28082182851398,148.443446605905,30
