family,offered_load,threshold,dwell,algorithm,static_median,other_median,median_difference,p_value,cliffs_delta,static_lower,n_pairs,p_holm,effect,significant
scale_free,0.7,0.75,1,spf-reconverge,54.5,136.5,79.0,1.7083716990437344e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,1,ecmp,54.5,129.5,73.5,1.7256857880058036e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,1,cspf,54.5,139.0,84.5,1.7224282827430733e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,1,orbit,54.5,137.0,82.5,1.711606992411454e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,3,spf-reconverge,54.5,136.5,79.0,1.7083716990437344e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,3,ecmp,54.5,126.5,71.5,1.714847401033251e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,3,cspf,54.5,139.0,84.5,1.7224282827430733e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,3,orbit,54.5,137.0,82.5,1.711606992411454e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,5,spf-reconverge,54.5,136.5,79.0,1.7083716990437344e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,5,ecmp,54.5,126.0,71.5,1.714847401033251e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,5,cspf,54.5,139.0,84.5,1.7224282827430733e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,5,orbit,54.5,137.0,82.5,1.711606992411454e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,10,spf-reconverge,54.5,136.0,79.0,1.7040659206732472e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,10,ecmp,54.5,126.5,71.5,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,10,cspf,54.5,136.5,84.0,1.7170105183845441e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,10,orbit,54.5,137.0,82.5,1.705141514598868e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,20,spf-reconverge,54.5,136.0,79.0,1.7083716990437344e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,20,ecmp,54.5,127.5,71.5,1.7180929312456739e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,20,cspf,54.5,138.5,85.5,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,20,orbit,54.5,137.0,82.5,1.7083716990437344e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,40,spf-reconverge,49.5,121.0,71.5,1.7235135468062213e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,40,ecmp,49.5,120.5,69.5,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,40,cspf,49.5,121.0,71.5,1.7245993818153558e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.75,40,orbit,49.5,126.5,77.0,1.7105279932400777e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,1,spf-reconverge,49.0,129.5,83.0,1.7105279932400777e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,1,ecmp,49.0,122.0,71.5,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,1,cspf,49.0,127.0,80.0,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,1,orbit,49.0,128.0,81.5,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,3,spf-reconverge,49.0,129.5,83.0,1.7105279932400777e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,3,ecmp,49.0,119.5,67.0,1.7224282827430733e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,3,cspf,49.0,127.0,80.0,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,3,orbit,49.0,128.0,81.5,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,5,spf-reconverge,49.0,129.5,83.0,1.7105279932400777e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,5,ecmp,49.0,119.5,68.0,1.7256857880058036e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,5,cspf,49.0,127.0,80.0,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,5,orbit,49.0,128.0,81.5,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,10,spf-reconverge,49.0,129.5,82.5,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,10,ecmp,49.0,117.5,66.0,1.7235135468062213e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,10,cspf,49.0,126.0,78.0,1.712686559944352e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,10,orbit,49.0,127.5,80.5,1.711606992411454e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,20,spf-reconverge,49.0,129.0,82.0,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,20,ecmp,49.0,120.0,68.5,1.7256857880058036e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,20,cspf,49.0,128.0,80.5,1.7256857880058036e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,20,orbit,49.0,126.5,79.5,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,40,spf-reconverge,44.5,108.0,66.0,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,40,ecmp,44.5,107.0,66.5,1.705141514598868e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,40,cspf,44.5,108.0,65.5,1.7170105183845441e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.8,40,orbit,44.5,120.0,77.0,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,1,spf-reconverge,44.5,122.0,80.5,1.707294403549849e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,1,ecmp,44.5,116.0,71.0,1.7235135468062213e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,1,cspf,44.5,122.5,80.5,1.7180929312456739e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,1,orbit,44.5,121.5,78.0,1.7170105183845441e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,3,spf-reconverge,44.5,122.0,80.5,1.707294403549849e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,3,ecmp,44.5,112.5,68.5,1.6944110497108883e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,3,cspf,44.5,122.5,80.5,1.7180929312456739e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,3,orbit,44.5,121.5,78.0,1.7170105183845441e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,5,spf-reconverge,44.5,122.0,80.5,1.707294403549849e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,5,ecmp,44.5,111.0,69.5,1.7094495621956692e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,5,cspf,44.5,122.5,80.5,1.7180929312456739e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,5,orbit,44.5,121.5,78.0,1.7170105183845441e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,10,spf-reconverge,44.5,123.0,80.5,1.711606992411454e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,10,ecmp,44.5,111.0,67.5,1.714847401033251e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,10,cspf,44.5,121.0,75.0,1.7224282827430733e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,10,orbit,44.5,119.5,76.5,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,20,spf-reconverge,44.5,121.5,79.5,1.7083716990437344e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,20,ecmp,44.5,111.0,68.0,1.7040659206732472e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,20,cspf,44.5,121.0,79.0,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,20,orbit,44.5,120.0,77.0,1.7245993818153558e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,40,spf-reconverge,40.0,103.0,60.5,1.707294403549849e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,40,ecmp,40.0,100.0,60.5,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,40,cspf,40.0,98.0,60.5,1.7235135468062213e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.85,40,orbit,40.0,110.0,71.5,1.7213435893906393e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,1,spf-reconverge,38.5,120.0,80.0,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,1,ecmp,38.5,111.5,74.5,1.7105279932400777e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,1,cspf,38.5,116.0,76.0,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,1,orbit,38.5,114.0,76.5,1.7105279932400777e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,3,spf-reconverge,38.5,120.0,80.0,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,3,ecmp,38.5,106.0,67.5,1.7256857880058036e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,3,cspf,38.5,116.0,76.0,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,3,orbit,38.5,114.0,76.5,1.7105279932400777e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,5,spf-reconverge,38.5,120.0,80.0,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,5,ecmp,38.5,106.0,68.5,1.7235135468062213e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,5,cspf,38.5,116.0,76.0,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,5,orbit,38.5,114.0,76.5,1.7170105183845441e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,10,spf-reconverge,38.5,120.5,80.5,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,10,ecmp,38.5,106.0,68.0,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,10,cspf,38.5,114.0,75.0,1.7213435893906393e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,10,orbit,38.5,111.0,73.0,1.7180929312456739e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,20,spf-reconverge,38.5,120.0,79.0,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,20,ecmp,38.5,106.0,67.5,1.7180929312456739e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,20,cspf,38.5,115.0,76.0,1.7094495621956692e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,20,orbit,38.5,113.5,73.0,1.7245993818153558e-06,1.0,True,30,0.0011285583997060354,large,True
