family,offered_load,cascade_threshold,cascade_dwell_ticks,algorithm,cascade_depth,pdr,pdr_critical,total_links
scale_free,0.7,0.75,1,cspf,139.0,0.027419942662096,0.011288396767286376,232.0
scale_free,0.7,0.75,1,ecmp,129.5,0.036143443849102494,0.01531107755500995,232.0
scale_free,0.7,0.75,1,orbit,137.0,0.03256166413974993,0.03578987766374457,232.0
scale_free,0.7,0.75,1,spf-reconverge,136.5,0.0342510978921111,0.04773431640166566,232.0
scale_free,0.7,0.75,1,spf-static,54.5,0.11111928293255956,0.11137080663434831,232.0
scale_free,0.7,0.75,3,cspf,139.0,0.0396674193817351,0.03041000775647165,232.0
scale_free,0.7,0.75,3,ecmp,126.5,0.05274646594122632,0.04226473191608868,232.0
scale_free,0.7,0.75,3,orbit,137.0,0.04408253711380625,0.05186907979462407,232.0
scale_free,0.7,0.75,3,spf-reconverge,136.5,0.0476864319539564,0.07612984899978975,232.0
scale_free,0.7,0.75,3,spf-static,54.5,0.11767648603895278,0.12246358189699025,232.0
scale_free,0.7,0.75,5,cspf,139.0,0.0517315194478695,0.049531618745656945,232.0
scale_free,0.7,0.75,5,ecmp,126.0,0.06757179814660252,0.06983903879038256,232.0
scale_free,0.7,0.75,5,orbit,137.0,0.055478412664240584,0.06794828192550365,232.0
scale_free,0.7,0.75,5,spf-reconverge,136.5,0.062037227678306814,0.10061534944590159,232.0
scale_free,0.7,0.75,5,spf-static,54.5,0.124233689145346,0.13355635715963216,232.0
scale_free,0.7,0.75,10,cspf,136.5,0.08445563193138642,0.09754351407759312,232.0
scale_free,0.7,0.75,10,ecmp,126.5,0.102499120918327,0.13780811035012744,232.0
scale_free,0.7,0.75,10,orbit,137.0,0.08445190122559837,0.10589231311272773,232.0
scale_free,0.7,0.75,10,spf-reconverge,136.0,0.09880650333550914,0.16149286583693329,232.0
scale_free,0.7,0.75,10,spf-static,54.5,0.1394843664593189,0.16128829531623684,232.0
scale_free,0.7,0.75,20,cspf,138.5,0.1407669826422025,0.17875176402507725,232.0
scale_free,0.7,0.75,20,ecmp,127.5,0.17881170795982737,0.2715308122260023,232.0
