experiment,family,nodes,links,flows,algorithm,repeats,median_ms,min_ms,max_ms,meets_n4
a10-control-cost,waxman,50,236,151,spf-static,5,0.0,0.0,0.001,True
a10-control-cost,waxman,50,236,151,spf-reconverge,5,5.277,5.267,5.41,True
a10-control-cost,waxman,50,236,151,ecmp,5,33.65,33.585,34.33,True
a10-control-cost,waxman,50,236,151,cspf,5,25.875,25.813,26.891,True
a10-control-cost,waxman,50,236,151,orbit,5,28.4,27.788,31.351,True
a10-control-cost,waxman,100,416,204,spf-static,5,0.0,0.0,0.0,True
a10-control-cost,waxman,100,416,204,spf-reconverge,5,17.935,17.779,18.054,True
a10-control-cost,waxman,100,416,204,ecmp,5,88.267,88.016,89.166,True
a10-control-cost,waxman,100,416,204,cspf,5,63.385,63.145,66.003,True
a10-control-cost,waxman,100,416,204,orbit,5,65.726,65.515,66.467,True
a10-control-cost,waxman,250,982,458,spf-static,5,0.0,0.0,0.001,True
a10-control-cost,waxman,250,982,458,spf-reconverge,5,103.805,101.905,106.228,True
a10-control-cost,waxman,250,982,458,ecmp,5,466.693,465.893,469.865,True
a10-control-cost,waxman,250,982,458,cspf,5,347.855,346.155,348.949,True
a10-control-cost,waxman,250,982,458,orbit,5,386.327,383.493,391.271,True
a10-control-cost,waxman,500,1974,852,spf-static,5,0.0,0.0,0.001,True
a10-control-cost,waxman,500,1974,852,spf-reconverge,5,417.599,415.222,420.56,True
a10-control-cost,waxman,500,1974,852,ecmp,5,1797.616,1779.763,1802.098,True
a10-control-cost,waxman,500,1974,852,cspf,5,1323.15,1313.36,1338.743,True
a10-control-cost,waxman,500,1974,852,orbit,5,1393.793,1390.578,1406.376,True
a10-control-cost,scale_free,50,192,140,spf-static,5,0.0,0.0,0.0,True
a10-control-cost,scale_free,50,192,140,spf-reconverge,5,4.575,4.52,4.639,True
a10-control-cost,scale_free,50,192,140,ecmp,5,27.323,27.268,27.721,True
a10-control-cost,scale_free,50,192,140,cspf,5,19.696,19.404,20.308,True
a10-control-cost,scale_free,50,192,140,orbit,5,21.257,20.679,21.299,True
a10-control-cost,scale_free,100,392,242,spf-static,5,0.0,0.0,0.001,True
a10-control-cost,scale_free,100,392,242,spf-reconverge,5,17.759,17.644,18.73,True
a10-control-cost,scale_free,100,392,242,ecmp,5,98.442,98.066,99.898,True
a10-control-cost,scale_free,100,392,242,cspf,5,71.223,70.927,72.491,True
a10-control-cost,scale_free,100,392,242,orbit,5,73.182,72.355,74.531,True
a10-control-cost,scale_free,250,992,607,spf-static,5,0.0,0.0,0.001,True
a10-control-cost,scale_free,250,992,607,spf-reconverge,5,112.846,111.469,114.214,True
a10-control-cost,scale_free,250,992,607,ecmp,5,633.984,629.813,636.126,True
a10-control-cost,scale_free,250,992,607,cspf,5,452.803,451.951,460.218,True
a10-control-cost,scale_free,250,992,607,orbit,5,489.482,485.07,490.228,True
a10-control-cost,scale_free,500,1992,1191,spf-static,5,0.0,0.0,0.001,True
a10-control-cost,scale_free,500,1992,1191,spf-reconverge,5,465.482,460.178,488.729,True
a10-control-cost,scale_free,500,1992,1191,ecmp,5,2538.689,2535.724,2541.779,True
a10-control-cost,scale_free,500,1992,1191,cspf,5,1857.785,1846.862,1864.264,True
a10-control-cost,scale_free,500,1992,1191,orbit,5,1901.551,1887.428,1902.728,True
