experiment,scenario,family,nodes,offered_load,failure,algorithm,trial,seed,flows,live_links,bound,achieved,optimality_gap
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,0,4490477138590985765,24,23,127022.6904850149,127022.69048501487,2.220446049250313e-16
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,0,4490477138590985765,24,23,127022.6904850149,126794.64358765182,0.0017953240991220865
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,0,4490477138590985765,24,23,127022.6904850149,127010.57641242056,9.536935919152167e-05
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,0,4490477138590985765,24,23,127022.6904850149,126719.14010466676,0.0023897335128792996
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,0,4490477138590985765,24,23,127022.6904850149,126719.14010466676,0.0023897335128792996
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,1,13839596965481434799,24,23,143810.14600158684,142281.02293002707,0.010632928997533209
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,1,13839596965481434799,24,23,143810.14600158684,143392.09265065938,0.00290698092277053
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,1,13839596965481434799,24,23,143810.14600158684,143723.00233465564,0.0006059632741783894
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,1,13839596965481434799,24,23,143810.14600158684,141837.00126030267,0.013720483541282191
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,1,13839596965481434799,24,23,143810.14600158684,141837.00126030267,0.013720483541282191
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,2,1583350652196781222,24,23,103269.11874259877,103269.11874259879,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,2,1583350652196781222,24,23,103269.11874259877,103269.11874259879,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,2,1583350652196781222,24,23,103269.11874259877,103269.11874259879,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,2,1583350652196781222,24,23,103269.11874259877,103257.44574139461,0.00011303477115232052
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,2,1583350652196781222,24,23,103269.11874259877,103257.44574139461,0.00011303477115232052
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,3,7521173781032055850,24,23,131358.92302075293,131316.49281306865,0.0003230097104068852
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,3,7521173781032055850,24,23,131358.92302075293,131288.5113840625,0.0005360247714524258
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,3,7521173781032055850,24,23,131358.92302075293,131308.72718531793,0.0003821273369231104
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,3,7521173781032055850,24,23,131358.92302075293,131121.4062549844,0.0018081509828684617
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,3,7521173781032055850,24,23,131358.92302075293,131121.4062549844,0.0018081509828684617
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,4,3844036252388132848,24,23,118282.77170945673,118282.77170945672,1.1102230246251565e-16
