experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,cascade_threshold,cascade_dwell_ticks,cascade_saturated,total_links,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a10-scale,scale_free-n100-load0.7-critical_link-centralised-deg4.0,scale_free,100,0.7,critical_link,CENTRALISED,cspf,0,17679872869091796778,0.8000870510333873,0.9994943043810013,0.965072267399044,0.7656837631726475,0.5498106403957047,7129.903252940517,53.56821742317256,153.0,0.0,0.0,False,107,0,0,0.98,3,False,392,0.30000000000000004,1.0,,0.4146781000017654,2,10,7.160697499988601
a10-scale,scale_free-n100-load0.7-critical_link-centralised-deg4.0,scale_free,100,0.7,critical_link,CENTRALISED,ecmp,0,17679872869091796778,0.727194968288589,0.9922304513521992,0.9047222193436244,0.6775078452559818,0.44483097195658544,6480.332062900023,42.124669317112236,103.02190031558179,0.0,0.0,False,12,0,0,0.98,3,False,392,0.30000000000000004,1.0,,0.6093490999774076,2,6,9.122443600004772
a10-scale,scale_free-n100-load0.7-critical_link-centralised-deg4.0,scale_free,100,0.7,critical_link,CENTRALISED,orbit,0,17679872869091796778,0.7956734404076669,0.9994943043810013,0.9990350829004616,0.8573473989570646,0.36669299074400385,7090.57176180228,48.00195553347813,109.3030908362262,0.0,0.0,False,262,0,0,0.98,3,False,392,0.30000000000000004,1.0,,0.2869461999798659,2,6,7.979784099996323
a10-scale,scale_free-n100-load0.7-critical_link-centralised-deg4.0,scale_free,100,0.7,critical_link,CENTRALISED,spf-reconverge,0,17679872869091796778,0.6233299080879228,0.9939548338805133,0.736212708956323,0.5724384486263125,0.3473455077852515,5554.747990972967,44.51771693396627,153.0,0.0,0.0,False,8,0,0,0.98,3,False,392,0.30000000000000004,1.0211183025785893,,0.09964729999774136,2,16,3.9302137999911793
a10-scale,scale_free-n100-load0.7-critical_link-centralised-deg4.0,scale_free,100,0.7,critical_link,CENTRALISED,spf-static,0,17679872869091796778,0.6227888557029185,0.971270402225928,0.7298601807564575,0.5830453501688904,0.3509104565278792,5549.926451673124,42.995844299956765,106.47402153997763,0.0,0.0,False,0,0,0,0.98,3,False,392,0.0,0.993893513578762,,0.0585970000247471,2,1040,3.908032800012734
a10-scale,scale_free-n100-load0.7-critical_link-centralised-deg4.0,scale_free,100,0.7,critical_link,CENTRALISED,cspf,1,12359370843532441103,0.7411577916329959,0.9412337676470636,0.8909753351050661,0.7033069407683523,0.5310964330956544,6961.342793283405,57.19289381471072,154.04920888452696,,0.0,True,96,0,0,0.98,3,False,392,0.30000000000000004,1.0,,0.4016451000061352,2,8,6.419684099993901
a10-scale,scale_free-n100-load0.7-critical_link-centralised-deg4.0,scale_free,100,0.7,critical_link,CENTRALISED,ecmp,1,12359370843532441103,0.7015033008221818,0.9951645929442628,0.8647294237148041,0.6573466486771703,0.42923917297654995,6588.887012687798,57.264490898153944,111.38740529261385,0.0,0.0,False,9,0,0,0.98,3,False,392,0.30000000000000004,1.0,,0.5942024000105448,2,2,9.957414600008633
a10-scale,scale_free-n100-load0.7-critical_link-centralised-deg4.0,scale_free,100,0.7,critical_link,CENTRALISED,orbit,1,12359370843532441103,0.7247543303627112,1.0,0.9760760244884887,0.7536295828875834,0.27224098393745155,6807.272879713172,60.70577764250868,154.01563478084262,0.0,0.0,False,275,0,0,0.98,3,False,392,0.30000000000000004,1.0,,0.32118669999181293,2,8,7.2032071000139695
a10-scale,scale_free-n100-load0.7-critical_link-centralised-deg4.0,scale_free,100,0.7,critical_link,CENTRALISED,spf-reconverge,1,12359370843532441103,0.6052399873239742,0.9321719059646962,0.7023862668552446,0.5237585266456249,0.4297720627672034,5684.731472203164,51.445954225460405,153.0,0.0,0.0,False,9,0,0,0.98,3,False,392,0.30000000000000004,1.0,,0.09261399999377318,2,18,3.840573099994799
a10-scale,scale_free-n100-load0.7-critical_link-centralised-deg4.0,scale_free,100,0.7,critical_link,CENTRALISED,spf-static,1,12359370843532441103,0.595646897976173,0.9321719059646962,0.6733641899819051,0.5161421078891018,0.42937538234574296,5594.628144476552,51.42699398224273,153.0,0.0,0.0,False,0,0,0,0.98,3,False,392,0.0,1.0,,0.0494868999812752,2,1170,3.720449600019492
