experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,backup_activations,cascade_depth,cascade_threshold,cascade_dwell_ticks,cascade_saturated,total_links,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a11-mechanisms,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,cspf,0,16144563513245164649,0.25368905850356493,0.18079346976178345,0.38814142205679686,0.20368159551436046,0.21472210613173326,823.8613357064241,11.673977377075806,55.203261180334096,,0.0,True,218,0,0,60,0.98,3,False,224,0.30000000000000004,0.29922503851622206,,0.20001349996891804,5,16384,0.8624815999937709
a11-mechanisms,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,orbit,0,16144563513245164649,0.21672008168157292,0.11707801277482482,0.32477378346647884,0.1557053688275053,0.2341986298307732,703.8036918966176,10.716634280191986,57.253095417751005,,0.2,True,311,5,5,54,0.98,3,False,224,0.8,0.28577674889842514,,0.2521204999939073,7,17036,0.8101087000104599
a11-mechanisms,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,orbit-no-damping,0,16144563513245164649,0.21672008168157292,0.11707801277482482,0.32477378346647884,0.1557053688275053,0.2341986298307732,703.8036918966176,10.716634280191986,57.253095417751005,,0.2,True,311,5,5,54,0.98,3,False,224,0.8,0.28577674889842514,,0.2799681999895256,7,17036,0.8180174000153784
a11-mechanisms,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,orbit-no-preemption,0,16144563513245164649,0.26453254722139835,0.11546007988530135,0.39868869660190115,0.2283222362417638,0.2469478570086152,859.0758268298804,10.361532233184818,55.080890740659896,,0.2,True,312,0,4,53,0.98,3,False,224,0.8,0.29090121591805657,,0.24201009998796508,6,15955,0.9297817000187933
a11-mechanisms,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,orbit-no-protection,0,16144563513245164649,0.21681017619868456,0.11775896526969468,0.32477378346647884,0.1557053688275053,0.2341986298307732,704.0962760137461,10.710903395604307,57.24828942591671,,0.2,True,310,5,0,54,0.98,3,False,224,0.8,0.28577674889842514,,0.28861629994935356,7,17034,0.8911132000212092
a11-mechanisms,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,orbit-restoration-only,0,16144563513245164649,0.30864699904117404,0.17967631167343012,0.39868869660190115,0.3006805184337087,0.2901388739126458,1002.3385730223276,9.701721077454307,53.16589043135644,,0.2,True,310,0,0,51,0.98,3,False,224,0.30000000000000004,0.29090121591805657,,0.25517239994951524,6,14965,1.0934081000159495
a11-mechanisms,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,cspf,1,11077608546085424007,0.18700533398068697,0.11625850476967334,0.21256395562373526,0.1801123798930033,0.21380366294944672,625.4373157139865,12.110975572951101,59.232679836140136,0.0,0.0,True,156,0,0,54,0.98,3,False,224,0.0,0.25378285914211285,,0.1881338999955915,5,17867,0.7290742000041064
a11-mechanisms,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,orbit,1,11077608546085424007,0.15599095274231412,0.1300568046953544,0.2311914409496441,0.15618540755983404,0.09262525062087748,521.710053301988,13.640778357650724,104.04260122337675,,0.0,True,334,3,0,57,0.98,3,False,224,0.0,0.1930685745764308,,0.2917121999489609,6,18339,0.8156569999991916
a11-mechanisms,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,orbit-no-damping,1,11077608546085424007,0.15627502450592973,0.1300568046953544,0.2323076689496371,0.15617920832105872,0.09262547846393789,522.6601282411565,13.633970871590002,104.03158777328343,,0.0,True,334,3,0,57,0.98,3,False,224,0.0,0.1930685745764308,,0.2261523000197485,6,18337,0.6498974999994971
a11-mechanisms,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,orbit-no-preemption,1,11077608546085424007,0.15599095274231412,0.1300568046953544,0.2311914409496441,0.15618540755983404,0.09262525062087748,521.710053301988,13.641041316278296,104.04260122337675,,0.0,True,333,0,0,57,0.98,3,False,224,0.0,0.1930685745764308,,0.16947379996418022,6,18339,0.4673185999854468
