experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a8-ablation,scale_free-n60-load0.9-congestion_surge-centralised,scale_free,60,0.9,congestion_surge,CENTRALISED,cspf,0,5972282557738229184,0.27868504011111767,0.6579341689300022,0.3681650406317796,0.1662937784532264,0.13520060943031514,4687.76302403305,108.0296546638543,204.0,0.0,0.0,True,0,0,0,0.0,1.630990606918353,,0.06377199999406002,1,0,0.9631608000054257
a8-ablation,scale_free-n60-load0.9-congestion_surge-centralised,scale_free,60,0.9,congestion_surge,CENTRALISED,orbit,0,5972282557738229184,0.28726829597764175,0.8269734369260916,0.43981644268959824,0.11040572074198814,0.07894414756704903,4832.142031463314,117.331572297753,205.02,0.0,0.0,True,150,0,0,0.0,2.0408141210730535,,0.037350500002503395,1,0,0.898976099997526
a8-ablation,scale_free-n60-load0.9-congestion_surge-centralised,scale_free,60,0.9,congestion_surge,CENTRALISED,orbit-no-damping,0,5972282557738229184,0.28726829597764175,0.8269734369260916,0.43981644268959824,0.11040572074198814,0.07894414756704903,4832.142031463314,117.331572297753,205.02,0.0,0.0,True,150,0,0,0.0,2.0408141210730535,,0.07702180001069792,1,0,0.9977779999899212
a8-ablation,scale_free-n60-load0.9-congestion_surge-centralised,scale_free,60,0.9,congestion_surge,CENTRALISED,orbit-no-fallback,0,5972282557738229184,0.26633811019925796,0.8269734369260916,0.47629968695208563,0.052495614221458216,0.035673023433422026,4480.075228957771,114.0132163505516,255.0,0.0,0.0,True,86,0,0,0.0,2.0408141210730535,,0.01789170000120066,1,9600,0.6546261999901617
a8-ablation,scale_free-n60-load0.9-congestion_surge-centralised,scale_free,60,0.9,congestion_surge,CENTRALISED,orbit-no-preemption,0,5972282557738229184,0.28726829597764175,0.8269734369260916,0.43981644268959824,0.11040572074198814,0.07894414756704903,4832.142031463314,117.331572297753,205.02,0.0,0.0,True,150,0,0,0.0,2.0408141210730535,,0.07344269999885,1,0,0.8499101999914274
a8-ablation,scale_free-n60-load0.9-congestion_surge-centralised,scale_free,60,0.9,congestion_surge,CENTRALISED,orbit-no-protection,0,5972282557738229184,0.28726829597764175,0.8269734369260916,0.43981644268959824,0.11040572074198814,0.07894414756704903,4832.142031463314,117.331572297753,205.02,0.0,0.0,True,150,0,0,0.0,2.0408141210730535,,0.050379200009047054,1,0,0.8144862000044668
a8-ablation,scale_free-n60-load0.9-congestion_surge-centralised,scale_free,60,0.9,congestion_surge,CENTRALISED,orbit-restoration-only,0,5972282557738229184,0.28726829597764175,0.8269734369260916,0.43981644268959824,0.11040572074198814,0.07894414756704903,4832.142031463314,117.331572297753,205.02,0.0,0.0,True,150,0,0,0.0,2.0408141210730535,,0.03307390000554733,1,0,0.8192369000025792
a8-ablation,scale_free-n60-load0.9-congestion_surge-centralised,scale_free,60,0.9,congestion_surge,CENTRALISED,cspf,1,9654478515782580873,0.2680993131666024,0.5739620905865346,0.3084128479216602,0.17950521647048362,0.17489686638937668,4854.673716381827,99.60473352123358,204.0,0.0,0.0,True,0,0,0,0.0,1.494092057777245,,0.03549540000676643,1,0,0.8663184000033652
a8-ablation,scale_free-n60-load0.9-congestion_surge-centralised,scale_free,60,0.9,congestion_surge,CENTRALISED,orbit,1,9654478515782580873,0.26750093281921056,0.7451835484859551,0.3563527220772049,0.12522362559291988,0.10217597586193723,4843.838398265672,119.7621734314983,255.0,0.0,0.0,True,150,0,0,0.0,1.8237563402127166,,0.037604500001179986,1,0,0.9060122000082629
a8-ablation,scale_free-n60-load0.9-congestion_surge-centralised,scale_free,60,0.9,congestion_surge,CENTRALISED,orbit-no-damping,1,9654478515782580873,0.26750093281921056,0.7451835484859551,0.3563527220772049,0.12522362559291988,0.10217597586193723,4843.838398265672,119.7621734314983,255.0,0.0,0.0,True,150,0,0,0.0,1.8237563402127166,,0.07604299999366049,1,0,0.6916818000026979
a8-ablation,scale_free-n60-load0.9-congestion_surge-centralised,scale_free,60,0.9,congestion_surge,CENTRALISED,orbit-no-fallback,1,9654478515782580873,0.2428123875266578,0.7451835484859551,0.3753264662431365,0.10031543190315856,0.022093355417113977,4396.784541574223,117.81717300006927,255.0,0.0,0.0,True,77,0,0,0.0,1.8237563402127166,,0.021301500004483387,1,10950,0.6474441000027582
a8-ablation,scale_free-n60-load0.9-congestion_surge-centralised,scale_free,60,0.9,congestion_surge,CENTRALISED,orbit-no-preemption,1,9654478515782580873,0.26750093281921056,0.7451835484859551,0.3563527220772049,0.12522362559291988,0.10217597586193723,4843.838398265672,119.7621734314983,255.0,0.0,0.0,True,150,0,0,0.0,1.8237563402127166,,0.04383399999642279,1,0,0.9329724999988684
