experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,cspf,0,16144563513245164649,0.25368905850356493,0.18079346976178345,0.38814142205679686,0.20368159551436046,0.21472210613173326,823.8613357064241,11.673977377075806,55.203261180334096,,0.0,True,218,0,60,0.30000000000000004,0.29922503851622206,,0.13330140001198743,5,16384,0.6890350000030594
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,ecmp,0,16144563513245164649,0.17827174930818881,0.08810482628744813,0.23089549618867727,0.19083552090977782,0.15228364699875274,578.9418052560645,15.937746429520933,92.7330793708441,,,True,273,0,62,0.4,0.22946911302725942,,0.4283493999973871,13,17820,1.1758348000003025
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,orbit,0,16144563513245164649,0.21672008168157292,0.11707801277482482,0.32477378346647884,0.1557053688275053,0.2341986298307732,703.8036918966176,10.716634280191986,57.253095417751005,,0.2,True,311,5,54,0.8,0.28577674889842514,,0.14276620000600815,7,17036,0.46778229999472387
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,spf-reconverge,0,16144563513245164649,0.16608180976737266,0.07537338974444617,0.2699329412781668,0.1325409118760372,0.14701694355550451,539.3546826126327,16.740734910515673,107.09093458803575,,0.0,True,271,0,75,0.6000000000000001,0.4329808569757071,,0.051345700019737706,7,17691,0.41927090000535827
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,spf-static,0,16144563513245164649,0.27738880080748185,0.2406904043783791,0.4009340017804516,0.21206420186525501,0.2516063831838364,900.8268204048061,6.7638763825832156,9.187529017048288,0.0,0.0,False,0,0,28,0.0,0.6595908013705251,,0.008546000011847354,3,15729,0.5006073999975342
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,cspf,1,11077608546085424007,0.18700533398068697,0.11625850476967334,0.21256395562373526,0.1801123798930033,0.21380366294944672,625.4373157139865,12.110975572951101,59.232679836140136,0.0,0.0,True,156,0,54,0.0,0.25378285914211285,,0.17419420002261177,5,17867,0.5620135000062874
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,ecmp,1,11077608546085424007,0.2826571081216542,0.1387150854519456,0.31277105554644397,0.3000100978820887,0.3152426740060889,945.3436391784575,9.761801386576986,54.092545382662856,0.0,0.0,False,200,0,49,0.0,0.29642790387893,,0.2513829999952577,6,15557,1.2003404999995837
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,orbit,1,11077608546085424007,0.15599095274231412,0.1300568046953544,0.2311914409496441,0.15618540755983404,0.09262525062087748,521.710053301988,13.640778357650724,104.04260122337675,,0.0,True,334,3,57,0.0,0.1930685745764308,,0.2119171000085771,6,18339,0.6047314000024926
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,spf-reconverge,1,11077608546085424007,0.1153619716901081,0.05803869399471986,0.15992428622164723,0.1304686102756734,0.08231044807025914,385.82686586247644,22.117855890513134,110.37642723976052,,0.0,True,273,0,71,0.6000000000000001,0.06903246343540714,,0.053275600002962165,8,19115,0.3665962999948533
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,spf-static,1,11077608546085424007,0.2405689439428891,0.23640315383920568,0.25322588896429143,0.2246864468567862,0.25259314613754547,804.5802295635478,6.796684728802545,8.15691333486409,0.0,0.0,False,0,0,26,0.0,0.6538991989188905,,0.008767999999690801,3,16905,0.4395014999900013
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,cspf,2,2723772585730228078,0.14918218819737247,0.1331848152022361,0.18102319025555622,0.11634160858563902,0.17011403206117715,482.5959850450685,16.507319904580427,105.06010362153565,,,True,202,0,66,0.1,0.22621516363487973,,0.15518110000994056,6,18840,0.6057043000037083
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,ecmp,2,2723772585730228078,0.1903167032691785,0.11369333957911601,0.20968479459364084,0.21904884010305958,0.17207843734527026,615.6638268584994,12.813970985850213,79.03050281380392,,,True,291,0,50,0.1,0.1400786282663343,,0.26687680002942216,8,17922,0.9259184999973513
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,orbit,2,2723772585730228078,0.24137250321044004,0.2330193892449928,0.27446584061691065,0.27402325960865714,0.17089735217220173,780.8264670010244,8.737634970971794,54.23994968615695,,0.2,True,319,8,48,0.30000000000000004,0.44645354884600214,,0.16851359998690896,5,16976,0.6548041999922134
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,spf-reconverge,2,2723772585730228078,0.15966999722103917,0.14677129698294603,0.1701359534467597,0.15987298387860932,0.15584312445994478,516.5234571374114,16.979672319683473,105.83684147714466,,,True,328,0,69,0.6000000000000001,0.334436621302091,,0.03914580002310686,7,18215,0.31197830000019167
a8-cascade,grid-n60-load0.9-cascading-centralised,grid,60,0.9,cascading,CENTRALISED,spf-static,2,2723772585730228078,0.2980423210000078,0.1874744744805159,0.30066808677012935,0.3384210476370752,0.2972963245644122,964.1501390086904,5.86789255334424,9.174792619997604,0.0,0.0,False,0,0,19,0.0,0.5787888804642246,,0.008715300020412542,3,15729,0.5382344999961788
