experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,cspf,0,511180306175207683,0.7999340084766446,0.9993096696654176,0.938377197454432,0.787077499878233,0.5556725918644813,4080.3615758440837,35.980414060799845,101.83261419607724,0.2,0.2,False,44,0,0,0.30000000000000004,1.0,,0.10036850000324193,2,4,1.886446899996372
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,ecmp,0,511180306175207683,0.6341973545169121,0.9165719881051916,0.8276410865906099,0.536602479213254,0.40246349834187906,3234.959996013634,45.17418128007752,150.4716463240082,,0.0,True,9,0,0,0.30000000000000004,0.9313070695737268,,0.1190989000024274,2,18,1.4062092000094708
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,orbit,0,511180306175207683,0.7908790513573362,0.9993096696654176,0.9990631552325039,0.8153218663257158,0.4139612069566833,4034.173391932635,34.87485194787664,101.98070893597016,0.2,0.2,False,164,0,0,0.30000000000000004,1.0,,0.10145820000616368,2,6,1.9732956999941962
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-reconverge,0,511180306175207683,0.6341973545169121,0.9165719881051916,0.8276410865906099,0.536602479213254,0.40246349834187906,3234.959996013634,45.17418128007752,150.4716463240082,,0.0,True,9,0,0,0.30000000000000004,0.9313070695737268,,0.021032299991929904,2,18,1.192673300000024
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-static,0,511180306175207683,0.6228136610183199,0.8734472821142626,0.7999622280067901,0.5300818991113023,0.41982105028073985,3176.893224191671,43.34478983725103,150.4716463240082,,0.0,True,0,0,0,0.0,0.8794909534476658,,0.01551760001166258,2,1170,1.2695459999958985
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,cspf,1,14881809401974801459,0.708246166724885,0.9957875179294223,0.7785054170458665,0.6797853870800452,0.5204271832879711,4846.307167306028,48.564370347014574,151.1431590656416,0.0,0.0,True,37,0,0,0.30000000000000004,1.0,,0.160015100002056,2,4,1.7903665999911027
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,ecmp,1,14881809401974801459,0.5511374501305886,0.9572711171022561,0.6138050676794733,0.4928056351860586,0.3494005623495871,3771.2613215966335,51.60308086746935,150.50059333536979,0.0,0.0,False,7,0,0,0.30000000000000004,1.0,,0.2126041000155965,2,14,1.3910455000004731
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,orbit,1,14881809401974801459,0.6983067259310753,0.9950178140057663,0.8916500949678137,0.6864813855863428,0.35311049328543054,4778.294680375385,49.47379977546237,150.84983139711792,0.2,0.2,False,172,0,0,0.30000000000000004,1.0,,0.1137995999888517,2,4,1.780635400005849
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-reconverge,1,14881809401974801459,0.5511374501305886,0.9572711171022561,0.6138050676794733,0.4928056351860586,0.3494005623495871,3771.2613215966335,51.60308086746935,150.50059333536979,0.0,0.0,False,7,0,0,0.30000000000000004,1.0,,0.03223739999521058,2,14,1.2049472000071546
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-static,1,14881809401974801459,0.5464752849937962,0.9406558579048189,0.6138050676794733,0.47762252413906475,0.3607532997818982,3739.359582654532,49.91279653203111,150.78857642551213,0.0,0.0,False,0,0,0,0.0,0.9796653974110318,,0.018428099996526726,2,910,1.2324424999969779
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,cspf,2,6548603596439119159,0.785837043523075,1.0,0.9679093126635263,0.7408919649872403,0.5536418358259438,4532.024622421652,41.648516965415666,102.8117406586169,0.0,0.0,True,44,0,0,0.30000000000000004,0.9999999999999999,,0.08551670001179446,2,2,1.7547973999899114
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,ecmp,2,6548603596439119159,0.588855406778182,1.0,0.8320230356732317,0.44901917853282297,0.31415727131051474,3396.005857143683,47.93193723405552,151.206042016919,0.0,0.0,False,3,0,0,0.30000000000000004,0.9999999999999999,,0.14857390001998283,2,6,1.341659499987145
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,orbit,2,6548603596439119159,0.7646485212229668,1.0,0.9939075192398206,0.776346499398617,0.40057402948885645,4409.827653510245,33.949320810773976,101.07447092691731,0.0,0.0,False,158,0,0,0.30000000000000004,0.9999999999999999,,0.057386300002690405,2,2,1.7768396000028588
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-reconverge,2,6548603596439119159,0.588855406778182,1.0,0.8320230356732317,0.44901917853282297,0.31415727131051474,3396.005857143683,47.93193723405552,151.206042016919,0.0,0.0,False,3,0,0,0.30000000000000004,0.9999999999999999,,0.018547899991972372,2,6,1.2923002000025008
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-static,2,6548603596439119159,0.5827656403473351,1.0,0.8320230356732317,0.4357335181562335,0.3085170640448602,3360.885380657028,47.153354121697895,150.96350650202524,0.0,0.0,False,0,0,0,0.0,0.9999999999999999,,0.00947640000958927,2,390,1.1026235000026645
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,cspf,3,5122753169195063474,0.7428726983572418,1.0,0.9455144803845307,0.7514139174252814,0.3889167980696204,4174.0669770862,50.829344342918475,102.84734434205022,0.0,0.0,True,75,0,0,0.30000000000000004,1.0,,0.14071229999535717,2,2,1.7394644000014523
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,ecmp,3,5122753169195063474,0.5521810626328848,0.9859764098065612,0.6884486591934824,0.5317580495787797,0.20312478890916222,3102.6052566006542,49.62534402779119,150.8956642818966,0.2,0.2,False,15,0,0,0.30000000000000004,1.0925843322802935,,0.13623370000277646,2,30,1.0550156999961473
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,orbit,3,5122753169195063474,0.7470111465068788,0.9991377608042075,1.0,0.7495130517849963,0.35396479522305857,4197.320166759185,46.409671763308104,102.57382421603965,0.2,0.2,True,171,5,0,0.30000000000000004,1.0,,0.05983890002244152,2,262,1.843766099991626
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-reconverge,3,5122753169195063474,0.5521810626328848,0.9859764098065612,0.6884486591934824,0.5317580495787797,0.20312478890916222,3102.6052566006542,49.62534402779119,150.8956642818966,0.2,0.2,False,15,0,0,0.30000000000000004,1.0925843322802935,,0.01911639999889303,2,30,1.0958387999999104
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-static,3,5122753169195063474,0.5224621834019395,0.8115714316742246,0.7049564568102912,0.5012650241561817,0.2091686115840266,2935.6202635214663,50.935987755789476,150.8956642818966,,0.0,True,0,0,0,0.0,0.8692810355079396,,0.008305399998789653,2,1950,0.9261693000007654
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,cspf,4,10220708774712354407,0.7769103770492395,0.9831462351842148,0.908593739195222,0.7236547089058104,0.5883073176061128,4983.65983752865,50.25311921032397,103.87097876917905,0.2,0.2,True,60,0,0,0.30000000000000004,0.9927931256116844,,0.1744304000021657,2,2,1.9864880999957677
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,ecmp,4,10220708774712354407,0.5998177969963054,0.9634278861707684,0.7507795130179981,0.5301659730416846,0.3134780773313926,3847.6611370270616,47.45288234793761,150.4245586216076,0.2,0.2,False,9,0,0,0.30000000000000004,1.0127243950503304,,0.16516029999183957,2,18,1.2666564000101062
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,orbit,4,10220708774712354407,0.7901695818461507,0.9991596138130667,0.9753309234139989,0.8165688680123274,0.4273667693224799,5068.713877706241,44.50431475125393,102.54237579890321,0.2,0.2,False,165,3,0,0.30000000000000004,1.0,,0.10323900000366848,2,2,1.8062586000014562
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-reconverge,4,10220708774712354407,0.5998177969963054,0.9634278861707684,0.7507795130179981,0.5301659730416846,0.3134780773313926,3847.6611370270616,47.45288234793761,150.4245586216076,0.2,0.2,False,9,0,0,0.30000000000000004,1.0127243950503304,,0.017934500006958842,2,18,1.1559668999980204
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-static,4,10220708774712354407,0.5776270088299453,0.8816037507677035,0.7507795130179843,0.5070276468880132,0.3091055411635103,3705.313521375655,45.795830170016174,150.57714585513827,,0.0,True,0,0,0,0.0,0.9122325867218138,,0.017574500016053207,2,1170,1.1159633999923244
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,cspf,5,6382036507379818620,0.8004197880336928,0.9994566330355802,0.98659532561397,0.7086522345715209,0.6222708803460475,4465.342776025948,44.18063488214224,150.85491189420318,0.0,0.0,True,57,0,0,0.30000000000000004,1.0037185511518476,,0.14255659998161718,2,6,1.975571699993452
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,ecmp,5,6382036507379818620,0.6002696960284948,0.9800910496397623,0.7569055477107428,0.5147835347002016,0.35041205308651663,3348.7552293188705,54.203859344996786,151.2457213758508,0.0,0.2,False,12,0,0,0.30000000000000004,1.0,,0.15616929999669082,2,24,1.2884962999960408
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,orbit,5,6382036507379818620,0.7702638433516092,1.0,0.9808359552216901,0.8397318034553009,0.3230974994150961,4297.110266343527,39.10853270248724,102.66985666058724,0.0,0.2,False,163,0,0,0.30000000000000004,1.0,,0.08185329999832902,2,8,1.9846969000063837
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-reconverge,5,6382036507379818620,0.6002696960284948,0.9800910496397623,0.7569055477107428,0.5147835347002016,0.35041205308651663,3348.7552293188705,54.203859344996786,151.2457213758508,0.0,0.2,False,12,0,0,0.30000000000000004,1.0,,0.018456799996783957,2,24,1.1289006000006339
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-static,5,6382036507379818620,0.5942108860312778,0.9448217119416004,0.7375798315193768,0.531408649816407,0.3422791028344741,3314.9546363589575,49.58934451402678,151.13081673196842,0.0,0.0,True,0,0,0,0.0,0.957852866277682,,0.020663000002969056,2,1560,1.0292094000033103
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,cspf,6,6109729812308633356,0.7245094010748007,0.9663915265275835,0.9023220341287107,0.6857740227182466,0.46401878748740255,5518.067019024743,58.32436947579165,151.47127882218558,0.0,0.0,True,66,0,0,0.30000000000000004,1.0048596241211725,,0.14153429999714717,2,2,1.931132699988666
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,ecmp,6,6109729812308633356,0.5008926118090541,0.86298913792437,0.5705109386102103,0.442029592147482,0.31859673629814383,3814.938767111104,50.51927246762472,150.67058418775778,0.0,0.2,False,9,0,0,0.30000000000000004,0.9935208439161836,,0.25286720000440255,2,18,1.1311170999979367
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,orbit,6,6109729812308633356,0.7134221472244141,0.9878767845222706,0.9383059337872931,0.754807129883499,0.27478348812126585,5433.623380732937,54.299133258353194,103.78758439126729,0.0,0.0,False,164,0,0,0.30000000000000004,0.986439643675787,,0.07227960000454914,2,4,2.0030072999943513
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-reconverge,6,6109729812308633356,0.5008926118090541,0.86298913792437,0.5705109386102103,0.442029592147482,0.31859673629814383,3814.938767111104,50.51927246762472,150.67058418775778,0.0,0.2,False,9,0,0,0.30000000000000004,0.9935208439161836,,0.03186139999888837,2,18,1.0318637000018498
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-static,6,6109729812308633356,0.4922965136889186,0.8324805649289271,0.5649979897743952,0.45068950368838573,0.29430901552891064,3749.46847030246,48.96221879759732,150.67058418775778,0.0,0.0,True,0,0,0,0.0,0.9523478476416829,,0.011747099997592159,2,1170,0.8969877000054112
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,cspf,7,17531937474730540171,0.7254587058426492,0.9761120085485742,0.932861198712314,0.6761251108307842,0.42520542308266107,4581.255981622434,62.361000055617986,152.805799791079,0.0,0.0,True,67,0,0,0.30000000000000004,1.0256565687024053,,0.07316009998612572,2,4,1.7379704999912065
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,ecmp,7,17531937474730540171,0.5373144829661546,0.8919325256306538,0.6478262979069398,0.44554036943971204,0.3259622160800074,3393.1292977480275,56.50434607819384,151.18857148392934,0.0,0.0,False,10,0,0,0.30000000000000004,1.0,,0.1741289999918081,2,20,1.0873935999989044
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,orbit,7,17531937474730540171,0.7397770275275021,0.9995012551281636,0.9997419847599304,0.7306872393510203,0.3293066116160921,4671.675872289173,54.78466935851461,150.56899343370188,0.0,0.0,False,174,0,0,0.30000000000000004,1.0000000000000002,,0.07911489998514298,2,6,1.993222400007653
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-reconverge,7,17531937474730540171,0.5373144829661546,0.8919325256306538,0.6478262979069398,0.44554036943971204,0.3259622160800074,3393.1292977480275,56.50434607819384,151.18857148392934,0.0,0.0,False,10,0,0,0.30000000000000004,1.0,,0.03810500001418404,2,20,1.2022527000081027
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-static,7,17531937474730540171,0.5299282434749386,0.8630672624947539,0.6459768508901498,0.4473909279483077,0.3142847747265178,3346.4853556761977,54.68609004204084,151.2265895682744,0.0,0.0,False,0,0,0,0.0,0.9620942358103788,,0.01900069999101106,2,1300,1.0768605999910505
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,cspf,8,6492216598015211638,0.7678955005747896,1.0,0.940874832026102,0.6870900683442012,0.5706546403312713,4637.0869968016905,44.911387367151406,105.13372694544528,0.0,0.0,False,77,0,0,0.30000000000000004,1.0,,0.15153099999588449,2,6,2.081605400002445
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,ecmp,8,6492216598015211638,0.5575877966058739,0.9533916792742461,0.6756822910402218,0.45367900028945635,0.35099543296775704,3367.102840531072,49.49627424939545,151.0126427498012,0.2,0.2,True,13,0,0,0.30000000000000004,1.0,,0.13664470000367146,2,26,1.3285518000047887
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,orbit,8,6492216598015211638,0.7322205352469832,0.9993576534476666,0.9781485229777194,0.6612980029021659,0.42617463754064516,4421.65674918454,51.88794316221854,102.791974398348,0.0,0.0,False,176,0,0,0.30000000000000004,1.0,,0.0666845999949146,2,6,1.973816400000942
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-reconverge,8,6492216598015211638,0.5575877966058739,0.9533916792742461,0.6756822910402218,0.45367900028945635,0.35099543296775704,3367.102840531072,49.49627424939545,151.0126427498012,0.2,0.2,True,13,0,0,0.30000000000000004,1.0,,0.029117700003553182,2,26,1.073863600002369
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-static,8,6492216598015211638,0.5479955150923168,0.8911862255904094,0.6189267777864287,0.4596656546880484,0.3980779557884176,3309.1779746568977,46.46909530776857,151.14928405354354,,0.0,True,0,0,0,0.0,0.9236171486218252,,0.009619400021620095,2,1690,0.9153848999994807
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,cspf,9,16974837765539899153,0.7613207034623813,0.9741512930485668,0.8606414695013201,0.7578741935632545,0.5526048887966633,5746.737955800777,54.366114888910126,150.887705913014,0.0,0.0,True,47,0,0,0.30000000000000004,1.0,,0.10429419999127276,2,2,1.8643746000016108
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,ecmp,9,16974837765539899153,0.5203488776803797,0.8103413366640354,0.7231697076394393,0.44200486941795003,0.27501183682774294,3927.791050505606,57.16071187948855,151.03049444503722,0.0,0.2,False,4,0,0,0.30000000000000004,0.9999999999999999,,0.145680400004494,2,8,1.0343974999996135
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,orbit,9,16974837765539899153,0.6795972198028613,0.9994514133967466,1.0,0.6488326806319813,0.24428115206934103,5129.858047911033,57.081619918594974,151.87723579653772,0.0,0.0,False,167,0,0,0.30000000000000004,1.0,,0.09401490000891499,2,4,2.0192986000038218
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-reconverge,9,16974837765539899153,0.5203488776803797,0.8103413366640354,0.7231697076394393,0.44200486941795003,0.27501183682774294,3927.791050505606,57.16071187948855,151.03049444503722,0.0,0.2,False,4,0,0,0.30000000000000004,0.9999999999999999,,0.020283000005292706,2,8,0.8961058999993838
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-static,9,16974837765539899153,0.5138709314523627,0.8103413366640354,0.7231697076394393,0.42515978755531814,0.27306900553023844,3878.8930508914123,56.77210335244877,151.03049444503722,0.0,0.0,True,0,0,0,0.0,0.9999999999999999,,0.016174400007002987,2,520,0.870730900001945
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,cspf,10,4564883513547701922,0.7632757574156867,1.0,0.8626841900025617,0.7553657779821116,0.5275016433288506,3468.977152988491,50.023990259649054,104.43926062442029,0.0,0.2,True,69,0,0,0.30000000000000004,1.0,,0.10050509999564383,2,6,1.8417528999998467
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,ecmp,10,4564883513547701922,0.5509439099438448,0.998853327697456,0.6987742706204417,0.4335733400735935,0.28012241149383316,2503.9598305131076,62.50970931423945,155.3274875143303,0.2,0.2,True,15,0,0,0.30000000000000004,1.0,,0.11012929999560583,2,30,1.1340486999979476
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,orbit,10,4564883513547701922,0.7776236794615585,0.9992980314755722,0.935960316246577,0.8321720340470198,0.40908627372254613,3534.1863690371056,40.31190542478419,102.92406891998527,0.2,0.2,True,163,0,0,0.30000000000000004,1.0,,0.07207419999758713,2,8,1.8442326000076719
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-reconverge,10,4564883513547701922,0.5509439099438448,0.998853327697456,0.6987742706204417,0.4335733400735935,0.28012241149383316,2503.9598305131076,62.50970931423945,155.3274875143303,0.2,0.2,True,15,0,0,0.30000000000000004,1.0,,0.01568730000872165,2,30,0.8475996000051964
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-static,10,4564883513547701922,0.5422934263705383,0.9254663003346456,0.6627134301975955,0.4542216795688124,0.3006093273855347,2464.644642540015,54.63002351129296,151.6485191101529,,0.0,True,0,0,0,0.0,0.9139995773092014,,0.019661500002257526,2,1950,0.9379669000045396
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,cspf,11,11651706176664664731,0.8111933057715883,0.9694929693998057,0.911144372278362,0.7750873831267624,0.6541395640766436,5282.881168216482,44.835250705460936,102.61901632037969,0.0,0.0,False,58,0,0,0.30000000000000004,1.009208801241896,,0.09259440000460017,2,2,1.8292474999907427
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,ecmp,11,11651706176664664731,0.5584973552307478,0.8460880580299861,0.6183640310405227,0.41910913413857737,0.4975166630665194,3637.2035363886603,46.18712468565189,150.78447063084198,0.0,0.0,True,7,0,0,0.30000000000000004,0.9999999999999999,,0.14228200001525693,2,14,1.238747899988084
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,orbit,11,11651706176664664731,0.7416272589221287,0.9995304691536405,0.9520845454428979,0.7264627305223169,0.3784741292514708,4829.833594680715,45.60206484127768,150.6788437193702,0.0,0.2,True,168,0,0,0.30000000000000004,1.0,,0.12055710000277031,2,4,2.056917900001281
a8-dual-control,waxman-n60-load0.7-critical_link-centralised,waxman,60,0.7,critical_link,CENTRALISED,spf-reconverge,11,11651706176664664731,0.5584973552307478,0.8460880580299861,0.6183640310405227,0.41910913413857737,0.4975166630665194,3637.2035363886603,46.18712468565189,150.78447063084198,0.0,0.0,True,7,0,0,0.30000000000000004,0.9999999999999999,,0.035625100004835986,2,14,0.9490121999988332
