experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a8-headline,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,cspf,0,14122833948546015960,0.27401745620037027,0.3562936786888012,0.3572587443817236,0.23502734741776224,0.19014185461253996,733.4258716813235,8.777742670973963,55.053340772670865,,,True,254,0,38,0.30000000000000004,0.5363686579083644,,0.291354400003911,6,16171,0.9591622000007192
a8-headline,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,ecmp,0,14122833948546015960,0.2453571509606447,0.2931484618466925,0.29945132273946307,0.23572938055467232,0.17574410407432145,656.7146663275745,13.303187765212101,69.84151100423286,,,True,447,0,47,1.0,0.7858423850022679,,0.7557147999759763,15,16434,1.6741004999930738
a8-headline,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,orbit,0,14122833948546015960,0.26364478410674297,0.39651856551779996,0.3508732226433763,0.21712051319277606,0.15417787008466002,705.6627277655205,9.73697715611372,55.19590770630834,,,True,279,12,39,0.30000000000000004,0.6203460884800118,,0.2670842000079574,6,16407,0.8722075999976369
a8-headline,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,spf-reconverge,0,14122833948546015960,0.1511258671502498,0.18713521258747615,0.2053623497123874,0.09418909515557694,0.14435926050990894,404.4983935885399,18.43673154377598,106.26967584837294,,0.0,True,292,0,60,0.6000000000000001,0.34404313226711297,,0.06113449997792486,7,18216,0.4448444000008749
a8-headline,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,spf-static,0,14122833948546015960,0.2965574631662979,0.24823893741804035,0.34384573231351223,0.336477923334981,0.23322076040278342,793.7556933135638,6.752588928276743,9.132041632032953,0.0,0.0,False,0,0,22,0.0,0.6693163186970482,,0.011776600003940985,3,15418,0.6193034000025364
a8-headline,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,cspf,1,17310411874255154903,0.3317139623744838,0.3438816207296017,0.2809457672891377,0.2178141102978271,0.5621533151689115,821.975727857864,6.709311289438772,9.34161785058737,,0.0,True,212,0,27,0.30000000000000004,0.5691684914785141,,0.2459363999805646,5,14794,0.8326825999974972
a8-headline,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,ecmp,1,17310411874255154903,0.2887076931677501,0.3106653947292179,0.21490140045641629,0.28486797592367874,0.3574565705556329,715.4076799511311,11.29144019912134,58.18713564021038,,0.0,True,371,0,42,0.0,0.4812352035160864,,0.4942177000193624,10,15541,1.569650699995691
a8-headline,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,orbit,1,17310411874255154903,0.3439721237841346,0.37761612487370616,0.28493808621982586,0.314390136307705,0.4321292169488202,852.3510279349883,7.202763539074066,10.221653167566352,,0.2,True,234,4,30,0.30000000000000004,0.5440739238212112,,0.1815494999900693,5,14488,0.9116106000001309
a8-headline,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,spf-reconverge,1,17310411874255154903,0.13682077986976782,0.1284507680621522,0.0981048209761138,0.11799315130315492,0.21269680114984124,339.03716115684347,23.384836150080833,111.71681861359731,,0.0,True,325,0,68,1.1,0.5199560433215672,,0.058443300033104606,8,18642,0.3955051000084495
a8-headline,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,spf-static,1,17310411874255154903,0.32776907867287897,0.39660646300311486,0.23112639577312852,0.3110872903904551,0.41176451500150874,812.2004424621875,5.968369012132602,9.166930817181303,0.0,0.0,True,0,0,14,0.0,0.8062384318251464,,0.008419000005233102,3,14666,0.6304187000059756
