experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,cspf,0,5629283266842178116,0.9730958013681219,0.9996531290259263,0.9994848167803508,1.0,0.8956503543079626,2472.11155042026,3.176663706205964,3.0358591751832913,0.0,0.0,False,77,0,0,0.30000000000000004,1.0,,0.11791129999619443,2,6,2.247965499991551
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,ecmp,0,5629283266842178116,0.8579674452128393,0.9996531290259263,0.934634071394366,0.8614519220852181,0.6990616331867461,2179.632496834555,17.565721534961465,100.78893968757974,0.0,0.0,True,15,0,0,0.30000000000000004,1.0,,0.10960540000814945,2,30,1.9420994999964023
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,orbit,0,5629283266842178116,0.9730560710973167,0.9995696528129531,0.9997914431599475,0.9996908543912458,0.8956503543079626,2472.0106172323653,3.1608985211779688,2.5843322586369557,0.0,0.0,False,155,0,0,0.30000000000000004,1.0,,0.08287069998914376,2,8,2.0084912000020267
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,spf-reconverge,0,5629283266842178116,0.8579674452128393,0.9996531290259263,0.934634071394366,0.8614519220852181,0.6990616331867461,2179.632496834555,17.565721534961465,100.78893968757974,0.0,0.0,True,15,0,0,0.30000000000000004,1.0,,0.01813719999336172,2,30,1.3141640999965603
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,spf-static,0,5629283266842178116,0.7927921787271528,0.9774533866851978,0.8753674511431434,0.7917494641021371,0.6107239759036209,2014.0572997630466,21.016832558185875,101.27143262288995,0.0,0.0,True,0,0,0,0.0,0.973984676944459,,0.008584800001699477,2,1950,1.3369187000062084
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,cspf,1,2452100683025622335,0.9947276861419693,0.9991384491475124,1.0,1.0,0.9801415926217797,3318.6780680846437,2.7001487232088053,2.801180716915753,0.2,0.2,False,54,0,0,0.30000000000000004,1.0,,0.11390000001119915,2,2,2.3016381000052206
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,ecmp,1,2452100683025622335,0.8552525543825006,0.998800938442773,0.9726824051109302,0.915001071604913,0.582348249950985,2853.3516604035544,29.086064391263456,100.96446490328576,0.2,0.2,True,3,0,0,0.30000000000000004,1.0,,0.20010869999532588,2,6,1.7852962000033585
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,orbit,1,2452100683025622335,0.9947276861419693,0.9991384491475124,1.0,1.0,0.9801415926217797,3318.6780680846437,2.6453924469116115,2.415514727648826,0.2,0.2,False,151,0,0,0.30000000000000004,1.0,,0.061352299991995096,2,2,1.9279724999942118
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,spf-reconverge,1,2452100683025622335,0.8552525543825006,0.998800938442773,0.9726824051109302,0.915001071604913,0.582348249950985,2853.3516604035544,29.086064391263456,100.96446490328576,0.2,0.2,True,3,0,0,0.30000000000000004,1.0,,0.023674799987929873,2,6,1.5244907000014791
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,spf-static,1,2452100683025622335,0.864843350150062,0.9220609987802503,0.9726824051109302,0.9128087029861661,0.666225407771195,2885.349124646992,27.322208486581324,100.95564637796157,,0.0,True,0,0,0,0.0,0.9100703832079795,,0.009809800001676194,2,390,1.7417113999981666
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,cspf,2,4892830376211141685,0.9997893918920555,1.0,0.9995493719945703,0.9997394367067576,1.0,2796.0597286496727,1.2983905211407814,2.4324113853986886,0.0,0.0,False,68,0,0,0.30000000000000004,1.0,,0.18149930000072345,2,4,2.205929900010233
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,ecmp,2,4892830376211141685,0.8971468204290469,0.9994412629691477,0.9717026356955012,0.8962343714917217,0.7585039442902174,2509.00451198085,21.236015481439143,51.641717624828516,0.0,0.0,False,5,0,0,0.30000000000000004,1.0,,0.1379047999944305,2,10,1.5940024000010453
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,orbit,2,4892830376211141685,0.9997187725707382,0.9994412629691477,1.0,0.9997520860520817,0.999527051249861,2795.8622312147118,1.304317059351192,2.6921908550338185,0.0,0.0,False,153,0,0,0.30000000000000004,1.0,,0.05676219999440946,2,6,2.2648300000000745
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,spf-reconverge,2,4892830376211141685,0.8971468204290469,0.9994412629691477,0.9717026356955012,0.8962343714917217,0.7585039442902174,2509.00451198085,21.236015481439143,51.641717624828516,0.0,0.0,False,5,0,0,0.30000000000000004,1.0,,0.021228599987807684,2,10,1.8915005000017118
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,spf-static,2,4892830376211141685,0.8800209340757671,0.9636820929946003,0.9507061706005948,0.8701193149018425,0.7696401294525264,2461.1094237370985,21.611375255563594,51.81479465654324,0.0,0.0,False,0,0,0,0.0,0.9580947226860804,,0.01386479998473078,2,650,1.6691980000032345
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,cspf,3,2424266111996093201,0.9945758127594396,1.0,1.0,0.9996669210357226,0.9777189487181519,2780.884316958161,2.9858886852590354,2.8641764066266058,0.0,0.0,False,41,0,0,0.30000000000000004,1.0,,0.12370589999773074,2,2,2.261092100001406
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,ecmp,3,2424266111996093201,0.7874099549224449,1.0,0.8274215985778128,0.7857969306483803,0.5985999498789037,2201.6380919070134,25.841083133922435,101.07014717034826,0.0,0.2,False,5,0,0,0.30000000000000004,1.0,,0.15524720001849346,2,10,1.3644442000077106
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,orbit,3,2424266111996093201,0.994572052993254,1.0,0.9995656389785772,1.0,0.9777189487181519,2780.87380446159,3.0145850077158842,2.896466700381808,0.0,0.0,False,151,0,0,0.30000000000000004,1.0,,0.11023619999468792,2,2,1.973890699999174
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,spf-reconverge,3,2424266111996093201,0.7874099549224449,1.0,0.8274215985778128,0.7857969306483803,0.5985999498789037,2201.6380919070134,25.841083133922435,101.07014717034826,0.0,0.2,False,5,0,0,0.30000000000000004,1.0,,0.032100999989779666,2,10,1.3450234000047203
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,spf-static,3,2424266111996093201,0.7709967115597126,1.0,0.7877956433326578,0.7444113175898247,0.6314142378793332,2155.745832642028,22.537480318031697,101.02549228806821,0.0,0.0,True,0,0,0,0.0,1.0,,0.023409700006595813,2,650,1.3504801999952178
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,cspf,4,8584562566166299177,0.980077475554928,0.9995221947792425,0.9995000357374493,0.9869805392700537,0.937712852816439,2365.6406448017997,5.240714450805219,51.270075412431034,0.0,0.0,False,61,0,0,0.30000000000000004,1.0,,0.1630295000213664,2,8,2.5321274000016274
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,ecmp,4,8584562566166299177,0.8814044434468506,0.9986853548387755,0.9872214280458972,0.8805930558526887,0.6985051187288536,2127.4707642333947,24.255305927796055,100.68019275695221,0.2,0.2,True,7,0,0,0.30000000000000004,1.0,,0.13902149999921676,2,14,1.9882178000116255
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,orbit,4,8584562566166299177,0.9799705530491557,0.999163160059533,1.0,0.9862175532109565,0.9380086013396861,2365.38256293398,5.209115394795185,51.290693199278806,0.2,0.2,False,155,1,0,0.30000000000000004,1.0,,0.07599319999280851,2,10,2.054005199999665
a8-load-sweep,waxman-n60-load0.3-critical_link-centralised,waxman,60,0.3,critical_link,CENTRALISED,spf-reconverge,4,8584562566166299177,0.8814044434468506,0.9986853548387755,0.9872214280458972,0.8805930558526887,0.6985051187288536,2127.4707642333947,24.255305927796055,100.68019275695221,0.2,0.2,True,7,0,0,0.30000000000000004,1.0,,0.045131300008506514,2,14,1.4080052000063006
